Composition,
Date Added,2022-04-27 19:57:39.168961
Formula,
Grain Size,<90 um
Locality,
Minimum Wavelength,350.0
Sample Name,Basalt
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,20.28. ISAR samples
Resolution,2@350-7@2500nm
Material Class,
Sample Description,Basalt
150W QTH; ~5mm spot
1000 and 1830 breaks removed
Absolute reflectance
Sample ID,07SA20-3_0
Original Sample ID,07SA20-3
Sample Type,None
Viewing Geometry,I30e0
Wavelength,Response
350.0,0.212467175
351.0,0.21348185
352.0,0.214141195
353.0,0.215612151
354.0,0.217225956
355.0,0.218674254
356.0,0.220570833
357.0,0.221650018
358.0,0.222469643
359.0,0.224444833
360.0,0.226581537
361.0,0.228230278
362.0,0.229192872
363.0,0.230536602
364.0,0.232432654
365.0,0.234566707
366.0,0.235986969
367.0,0.236961676
368.0,0.238107192
369.0,0.24008318
370.0,0.241783656
371.0,0.243269044
372.0,0.244665713
373.0,0.245708033
374.0,0.246660368
375.0,0.247676654
376.0,0.248767665
377.0,0.24999149
378.0,0.251065854
379.0,0.25171369
380.0,0.252752544
381.0,0.25413683
382.0,0.255574657
383.0,0.256445399
384.0,0.257370013
385.0,0.258435187
386.0,0.25925787
387.0,0.260525701
388.0,0.261912578
389.0,0.262925686
390.0,0.264279932
391.0,0.265610615
392.0,0.266646622
393.0,0.26746099
394.0,0.268394011
395.0,0.269412904
396.0,0.270191084
397.0,0.271135103
398.0,0.272058121
399.0,0.272714966
400.0,0.273527615
401.0,0.274226613
402.0,0.274741332
403.0,0.275508967
404.0,0.276264429
405.0,0.276988375
406.0,0.277826485
407.0,0.278500082
408.0,0.279299444
409.0,0.280505267
410.0,0.281414816
411.0,0.282322016
412.0,0.283385743
413.0,0.28429707
414.0,0.285314426
415.0,0.286473758
416.0,0.287651077
417.0,0.28894711
418.0,0.29023064
419.0,0.291383824
420.0,0.292709717
421.0,0.294110153
422.0,0.295481181
423.0,0.29682012
424.0,0.298148875
425.0,0.299532679
426.0,0.301069756
427.0,0.302379981
428.0,0.303614006
429.0,0.305062861
430.0,0.306532717
431.0,0.307919685
432.0,0.309213549
433.0,0.310686056
434.0,0.3120306
435.0,0.313180862
436.0,0.314328985
437.0,0.315354205
438.0,0.316282857
439.0,0.317191201
440.0,0.3179159
441.0,0.318573348
442.0,0.319255442
443.0,0.319870345
444.0,0.320495975
445.0,0.321164571
