Composition,
Date Added,2022-04-27 19:57:39.285612
Formula,
Grain Size,90-1000 um
Locality,
Minimum Wavelength,350.0
Sample Name,Basalt
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,20.28. ISAR samples
Resolution,2@350-7@2500nm
Material Class,
Sample Description,Basalt
150W QTH; ~5mm spot
1000 and 1830 breaks removed
Absolute reflectance
Sample ID,09ET01-3_1
Original Sample ID,09ET01-3
Sample Type,None
Viewing Geometry,I30e0
Wavelength,Response
350.0,0.036042206
351.0,0.035269112
352.0,0.035120901
353.0,0.035195521
354.0,0.03566681
355.0,0.036517058
356.0,0.037589346
357.0,0.037196272
358.0,0.036316583
359.0,0.037212188
360.0,0.037797797
361.0,0.03753909
362.0,0.036629052
363.0,0.036765513
364.0,0.037283709
365.0,0.037724252
366.0,0.03798532
367.0,0.037802555
368.0,0.037615427
369.0,0.038115019
370.0,0.039020308
371.0,0.039828591
372.0,0.04019557
373.0,0.040288475
374.0,0.040187748
375.0,0.040138548
376.0,0.040604576
377.0,0.040869427
378.0,0.040895964
379.0,0.0409045
380.0,0.041164612
381.0,0.041693222
382.0,0.042288327
383.0,0.042231133
384.0,0.0424222
385.0,0.042794106
386.0,0.042406618
387.0,0.0428351
388.0,0.04350911
389.0,0.043475404
390.0,0.043843689
391.0,0.044253747
392.0,0.044406332
393.0,0.044383131
394.0,0.044448693
395.0,0.044708621
396.0,0.045150754
397.0,0.045188634
398.0,0.045241455
399.0,0.04579709
400.0,0.046046001
401.0,0.046108303
402.0,0.046160963
403.0,0.046325167
404.0,0.04656732
405.0,0.046860044
406.0,0.047175411
407.0,0.04735944
408.0,0.047538808
409.0,0.047857716
410.0,0.048088495
411.0,0.048278979
412.0,0.048453708
413.0,0.048522222
414.0,0.048619839
415.0,0.048808461
416.0,0.049101849
417.0,0.049371626
418.0,0.049544711
419.0,0.049622549
420.0,0.049960845
421.0,0.050241972
422.0,0.050309423
423.0,0.050522554
424.0,0.05069362
425.0,0.050853473
426.0,0.051229465
427.0,0.051378459
428.0,0.051412073
429.0,0.051590984
430.0,0.051816591
431.0,0.052000462
432.0,0.052120953
433.0,0.052359604
434.0,0.052500462
435.0,0.052549236
436.0,0.052767128
437.0,0.052929792
438.0,0.053049669
439.0,0.053214372
440.0,0.05329244
441.0,0.053354915
442.0,0.053466021
443.0,0.053561088
444.0,0.053681518
445.0,0.05383611
446.0,0.053997515
447.0,0.054030707
448.0,0.054001973
449.0,0.05408438
450.0,0.054224501
451.0,0.054364329
452.0,0.054461278
453.0,0.054581511
454.0,0.054706925
455.0,0.054804722
456.0,0.05478997
457.0,0.054920548
458.0,0.055148785
459.0,0.055208871
460.0,0.055291885
461.0,0.055418155
462.0,0.055556839
463.0,0.055643493
464.0,0.05572079
465.0,0.055836385
466.0,0.056037951
467.0,0.056201409
468.0,0.05630436
469.0,0.056429655
470.0,0.056572912
471.0,0.056720766
472.0,0.056851056
473.0,0.056944833
474.0,0.057055068
475.0,0.057220005
476.0,0.057376898
477.0,0.057567643
478.0,0.05777655
479.0,0.0578774
480.0,0.057966811
481.0,0.058093592
482.0,0.058282352
483.0,0.058421324
484.0,0.058566478
485.0,0.058787493
486.0,0.058989416
487.0,0.059088979
488.0,0.059119184
489.0,0.05937981
490.0,0.059620339
491.0,0.059782926
492.0,0.059974251
493.0,0.060108888
494.0,0.060253148
495.0,0.060508433
496.0,0.060763154
497.0,0.060981269
498.0,0.061160756
499.0,0.061354315
500.0,0.06159656
501.0,0.061862355
502.0,0.062035909
503.0,0.062216114
504.0,0.062422906
505.0,0.062636671
506.0,0.0628227
507.0,0.063007693
508.0,0.063225924
509.0,0.063449446
510.0,0.063644983
511.0,0.063820979
512.0,0.064089024
513.0,0.064296269
514.0,0.064434654
515.0,0.064640025
516.0,0.06484975
517.0,0.06504834
518.0,0.06523617
519.0,0.065408373
520.0,0.065586634
521.0,0.065784195
522.0,0.065961819
523.0,0.066139397
524.0,0.066323772
525.0,0.066496158
526.0,0.066669989
527.0,0.066846745
528.0,0.067022741
529.0,0.067195028
530.0,0.067372545
531.0,0.067560168
532.0,0.067712219
533.0,0.067871235
534.0,0.068056308
535.0,0.068192623
536.0,0.068329192
537.0,0.068484284
538.0,0.068633961
539.0,0.068789161
540.0,0.068950934
541.0,0.069119174
