Composition,
Date Added,2022-04-27 19:57:39.393493
Formula,
Grain Size,<90 um
Locality,
Minimum Wavelength,350.0
Sample Name,Basalt
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,20.28. ISAR samples
Resolution,2@350-7@2500nm
Material Class,
Sample Description,Basalt
150W QTH; ~5mm spot
1000 and 1830 breaks removed
Absolute reflectance
Sample ID,09SV15-4_0
Original Sample ID,09SV15-4
Sample Type,None
Viewing Geometry,I30e0
Wavelength,Response
350.0,0.062435988
351.0,0.062048599
352.0,0.061483525
353.0,0.061905682
354.0,0.062592903
355.0,0.063174224
356.0,0.064212808
357.0,0.064304242
358.0,0.063922422
359.0,0.064464684
360.0,0.065461368
361.0,0.065716862
362.0,0.064725687
363.0,0.064931759
364.0,0.06557327
365.0,0.066189287
366.0,0.066871433
367.0,0.067020661
368.0,0.066986719
369.0,0.067473606
370.0,0.068234887
371.0,0.068783291
372.0,0.068937847
373.0,0.069590594
374.0,0.06982357
375.0,0.069647107
376.0,0.070091227
377.0,0.070472934
378.0,0.070542476
379.0,0.070305205
380.0,0.070763078
381.0,0.071499852
382.0,0.072014494
383.0,0.071966354
384.0,0.072196286
385.0,0.072574956
386.0,0.072080947
387.0,0.072707695
388.0,0.073630948
389.0,0.073544231
390.0,0.074025775
391.0,0.074591082
392.0,0.074822754
393.0,0.074813048
394.0,0.074865001
395.0,0.075091142
396.0,0.075461779
397.0,0.075567253
398.0,0.075639305
399.0,0.075981003
400.0,0.076224085
401.0,0.076314517
402.0,0.076327125
403.0,0.076535036
404.0,0.076823002
405.0,0.077102566
406.0,0.077292346
407.0,0.077513882
408.0,0.077808585
409.0,0.078154029
410.0,0.07826921
411.0,0.078418023
412.0,0.078688499
413.0,0.07868724
414.0,0.078731235
415.0,0.07891314
416.0,0.079172273
417.0,0.079426169
418.0,0.079598405
419.0,0.079661248
420.0,0.079832029
421.0,0.080005516
422.0,0.080110237
423.0,0.080220775
424.0,0.080383982
425.0,0.080594659
426.0,0.080799737
427.0,0.080831185
428.0,0.080833084
429.0,0.081017325
430.0,0.081209237
431.0,0.081319217
432.0,0.081354298
433.0,0.081579255
434.0,0.081730134
435.0,0.081772064
436.0,0.081927932
437.0,0.082003119
438.0,0.082049104
439.0,0.0821906
440.0,0.082197179
441.0,0.082226464
442.0,0.082393002
443.0,0.082464376
444.0,0.082525033
445.0,0.082623062
446.0,0.082762878
447.0,0.08279104
448.0,0.082753563
449.0,0.082800377
450.0,0.082919378
451.0,0.083047038
452.0,0.083123137
453.0,0.083194405
454.0,0.08327758
455.0,0.083348261
456.0,0.083270481
457.0,0.083337326
458.0,0.083508657
459.0,0.083510948
460.0,0.08355214
461.0,0.083637448
462.0,0.083716388
463.0,0.083737285
464.0,0.083782154
465.0,0.083898209
466.0,0.084021544
467.0,0.084104048
468.0,0.084144855
469.0,0.084196424
470.0,0.084275168
471.0,0.08436227
472.0,0.084421239
473.0,0.084433583
474.0,0.084483826
475.0,0.084619625
476.0,0.084690313
477.0,0.084766765
478.0,0.08486918
479.0,0.084921789
