Composition,
Date Added,2022-04-27 20:04:44.615908
Formula,
Grain Size,<45
Locality,
Minimum Wavelength,2000.0
Sample Name,Basalt
Maximum Wavelength,15965.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,15.13. Carbonates/nitrates + basalt or palagonite - D & P spectra
Resolution,6 cm-1
Material Class,
Sample Description,Basalt
Sample ID,Sa-14
Original Sample ID,Sa-14
Sample Type,None
Viewing Geometry,I=35°_ e=0°
Wavelength,Response
1999.978,0.16355435
2001.1420000000003,0.16323682
2002.307,0.16379631
2003.4740000000002,0.16352853
2004.6430000000003,0.16348495
2005.8120000000001,0.16339184
2006.983,0.16376307
2008.155,0.16409182
2009.3290000000002,0.16378565
2010.5040000000001,0.16415422
2011.68,0.16394001
2012.858,0.16324598
2014.037,0.16434937
2015.2169999999999,0.16412003
2016.399,0.16407201
2017.5819999999999,0.16429632
2018.7659999999998,0.16418741
2019.952,0.16518628
2021.139,0.16497301
2022.328,0.16459148
2023.5180000000003,0.1650068
2024.709,0.16466612
2025.9019999999998,0.16564537
2027.0959999999998,0.16498315
2028.291,0.16511168
2029.4880000000003,0.16512634
2030.6860000000001,0.1660796
2031.886,0.16551321
2033.087,0.16593302
2034.2889999999998,0.16587302
2035.4930000000002,0.16576485
2036.6979999999999,0.16587928
2037.9049999999997,0.16672825
2039.113,0.16654814
2040.3220000000001,0.16681841
2041.533,0.16670998
2042.746,0.16648514
2043.959,0.16705003
2045.1739999999998,0.1670119
2046.3909999999998,0.16716411
2047.609,0.16685578
2048.828,0.16777934
2050.049,0.16723737
2051.2709999999997,0.16792327
2052.495,0.16667305
2053.7200000000003,0.16722838
2054.9469999999997,0.1672469
2056.175,0.16729259
2057.404,0.16803294
2058.635,0.16737707
2059.867,0.16832737
2061.1009999999997,0.16784327
2062.3360000000002,0.16849457
2063.573,0.16799851
2064.811,0.16897308
2066.051,0.16901716
2067.292,0.16851243
2068.534,0.1690164
2069.778,0.16875526
2071.024,0.16912614
2072.271,0.16873435
2073.5190000000002,0.1692551
2074.769,0.1691158
2076.02,0.16949605
2077.273,0.16872744
2078.528,0.16944639
2079.784,0.16995539
2081.0409999999997,0.16992479
2082.3,0.17085929
2083.56,0.17027521
2084.822,0.17027494
2086.085,0.1700659
2087.35,0.17053258
2088.617,0.17131329
2089.885,0.17070064
2091.154,0.17118598
2092.425,0.17116216
2093.697,0.17111209
2094.971,0.17164149
2096.247,0.17131234
2097.524,0.171578
2098.8030000000003,0.17131305
2100.083,0.1719472
2101.3639999999996,0.17243865
2102.6479999999997,0.1718879
2103.932,0.17176376
2105.219,0.17133398
2106.506,0.17091577
2107.796,0.1708874
2109.087,0.17052063
2110.379,0.17107708
2111.6730000000002,0.17047961
2112.969,0.17014983
2114.266,0.17060991
2115.565,0.17047806
2116.8650000000002,0.17066903
2118.167,0.17053821
2119.471,0.17059813
2120.7760000000003,0.17080051
2122.082,0.17133882
2123.3909999999996,0.17091826
2124.7,0.17111896
2126.0119999999997,0.17256371
2127.325,0.17288748
2128.64,0.17392617
2129.956,0.17375979
2131.274,0.17333748
2132.593,0.17276111
2133.9139999999998,0.17297428
2135.237,0.17303788
2136.561,0.1724774
2137.887,0.17302508
2139.214,0.17294165
2140.544,0.17300952
2141.8740000000003,0.17262757
2143.207,0.17346037
2144.5409999999997,0.17344426
2145.8759999999997,0.17356216
2147.214,0.17287966
2148.5530000000003,0.17364821
2149.893,0.17412346
2151.2349999999997,0.1743621
2152.5789999999997,0.17398522
2153.925,0.17420317
2155.272,0.1752913
2156.621,0.17525354
2157.972,0.17519951
2159.3239999999996,0.1759912
2160.678,0.17568332
2162.033,0.17618565
2163.3900000000003,0.17650279
2164.7490000000003,0.17668466
2166.11,0.17691095
2167.472,0.17795895
2168.8360000000002,0.17775411
2170.202,0.17791855
2171.569,0.1780872
2172.9379999999996,0.17860206
2174.309,0.17829648
2175.6820000000002,0.17866741
2177.056,0.17872695
2178.432,0.17933677
2179.809,0.17905483
2181.189,0.17889534
2182.57,0.17967616
2183.952,0.17957726
2185.337,0.18026274
2186.7230000000004,0.17961113
2188.1110000000003,0.18020295
2189.5009999999997,0.18084209
2190.892,0.18101832
2192.285,0.181541
2193.6800000000003,0.1815027
2195.0769999999998,0.18151866
2196.476,0.18209735
2197.8759999999997,0.18182871
2199.2780000000002,0.18178897
2200.6820000000002,0.1821885
2202.087,0.1822186
2203.494,0.18280274
2204.903,0.18313428
2206.314,0.18281322
2207.7270000000003,0.18292517
2209.1409999999996,0.18319537
2210.5570000000002,0.18280254
2211.975,0.18322243
2213.395,0.18348382
2214.817,0.18378068
2216.24,0.18396742
2217.6650000000004,0.18352557
2219.0919999999996,0.18412525
2220.521,0.1842728
2221.9519999999998,0.18362599
2223.384,0.18425433
2224.8179999999998,0.18471096
2226.254,0.1847559
2227.692,0.18488106
2229.132,0.18542491
2230.5739999999996,0.18433228
2232.017,0.18504343
2233.462,0.18515545
2234.9100000000003,0.18518301
2236.3590000000004,0.18539744
2237.8089999999997,0.18583136
2239.262,0.18570728
2240.717,0.18613692
2242.1730000000002,0.18604721
2243.6310000000003,0.18628405
2245.092,0.18621025
2246.554,0.18736486
2248.017,0.18713377
2249.483,0.18644664
2250.951,0.18664751
2252.421,0.18686355
2253.892,0.18702883
2255.365,0.18696255
2256.841,0.18698611
2258.318,0.18757005
2259.797,0.18739687
2261.278,0.18726456
2262.761,0.18734437
2264.246,0.18724496
2265.732,0.18783021
2267.221,0.18745037
2268.712,0.18666087
2270.204,0.18725661
2271.699,0.18775629
2273.1949999999997,0.18747588
2274.6940000000004,0.18793654
2276.194,0.18738049
2277.6960000000004,0.18785842
2279.201,0.18780231
2280.707,0.18781868
2282.2149999999997,0.18811025
2283.725,0.18830367
2285.237,0.18891953
2286.752,0.18845177
2288.268,0.1880686
2289.786,0.18842812
2291.306,0.18891474
2292.828,0.18944953
2294.352,0.18962082
2295.878,0.18974377
2297.406,0.18986514
2298.9359999999997,0.18990548
2300.468,0.18969038
2302.002,0.19062762
2303.5389999999998,0.19004584
2305.0769999999998,0.18983053
2306.617,0.19114021
2308.1589999999997,0.19072667
2309.703,0.19085384
2311.25,0.19112387
2312.798,0.19138431
2314.348,0.19163939
2315.9010000000003,0.19210742
2317.455,0.19195131
2319.0119999999997,0.1922043
2320.5710000000004,0.19230415
2322.1310000000003,0.19177926
2323.694,0.19328842
2325.259,0.19276652
2326.826,0.193805
2328.395,0.19335197
2329.9660000000003,0.19323649
2331.54,0.19369275
2333.115,0.19370455
2334.692,0.19406821
2336.272,0.19382242
2337.8540000000003,0.19433773
2339.4370000000004,0.1943541
2341.0229999999997,0.19435686
2342.6110000000003,0.19449595
2344.201,0.19461986
2345.7940000000003,0.1947546
2347.388,0.19495264
2348.9849999999997,0.19510877
2350.583,0.19547582
2352.1839999999997,0.19557992
2353.7870000000003,0.19579933
2355.393,0.19602307
2357.0,0.19604578
2358.609,0.19537416
2360.221,0.19576751
2361.835,0.19590785
2363.451,0.19664096
2365.069,0.19643685
2366.69,0.19679835
2368.312,0.19709184
2369.9370000000004,0.19711408
2371.564,0.19725448
2373.194,0.19734494
2374.825,0.1980128
2376.4590000000003,0.19776821
2378.0950000000003,0.19788412
2379.7329999999997,0.19805863
2381.373,0.19851604
2383.016,0.19834648
2384.661,0.19852942
2386.308,0.19918954
2387.9570000000003,0.19879969
2389.609,0.19937258
2391.263,0.19985898
2392.919,0.19986866
2394.5769999999998,0.19991791
2396.238,0.19988108
2397.901,0.20062655
2399.5660000000003,0.20047377
2401.233,0.20106336
2402.903,0.20050547
2404.575,0.20092769
2406.25,0.20159092
2407.926,0.20139212
2409.606,0.20123723
2411.2870000000003,0.20157299
2412.971,0.20198996
2414.657,0.20188178
2416.3450000000003,0.20173831
2418.036,0.20259155
2419.729,0.20238046
2421.424,0.20235281
2423.1220000000003,0.20286634
2424.8219999999997,0.20303718
2426.5240000000003,0.20376103
2428.229,0.20388736
2429.936,0.20378711
2431.646,0.20378569
2433.358,0.20384848
2435.072,0.20461767
2436.789,0.20443774
2438.5080000000003,0.20485107
2440.229,0.20552323
2441.953,0.20532855
2443.679,0.20555846
2445.408,0.2054889
2447.139,0.20599647
2448.873,0.20613226
2450.609,0.20672652
2452.347,0.20656619
2454.088,0.20676679
2455.8309999999997,0.20730916
2457.577,0.20740249
2459.3250000000003,0.20721912
2461.076,0.20784367
2462.829,0.2075003
2464.585,0.207592
2466.3430000000003,0.20754792
2468.104,0.20774917
2469.8669999999997,0.20876688
2471.632,0.2086071
2473.3999999999996,0.20928004
2475.171,0.20908576
2476.944,0.20938002
2478.7200000000003,0.20936071
2480.498,0.20957081
2482.278,0.20982554
2484.0620000000004,0.21020138
2485.847,0.2102357
2487.636,0.21020068
2489.427,0.21119524
2491.2200000000003,0.21109363
2493.016,0.21147816
2494.814,0.21185456
2496.615,0.21230857
2498.4190000000003,0.21242859
2500.225,0.21252226
2502.034,0.212829
2503.8450000000003,0.21331601
2505.659,0.21363557
2507.476,0.21383958
2509.2949999999996,0.21415357
2511.117,0.21415768
2512.942,0.21442065
2514.769,0.2144916
2516.598,0.21501811
2518.431,0.21489673
2520.266,0.21512195
2522.103,0.21624377
2523.9440000000004,0.21726274
2525.787,0.2163358
2527.632,0.21658703
2529.48,0.21689882
2531.331,0.21808041
2533.185,0.21789057
2535.041,0.21850688
2536.9,0.21896747
2538.762,0.21822489
2540.6270000000004,0.21908607
2542.494,0.2212007
2544.364,0.22051455
2546.236,0.2198276
2548.112,0.22214129
2549.9900000000002,0.22103967
2551.87,0.22398317
2553.754,0.22306901
2555.64,0.22173665
2557.529,0.2221184
2559.421,0.22420381
2561.3160000000003,0.23017923
2563.213,0.22911674
2565.1130000000003,0.22792405
2567.016,0.22384975
2568.922,0.22905213
2570.831,0.22670351
2572.7419999999997,0.22947291
2574.656,0.22907447
2576.573,0.22930001
2578.493,0.22685763
2580.416,0.22756239
2582.342,0.23236837
2584.27,0.2333861
2586.201,0.23082269
2588.1349999999998,0.23221314
2590.072,0.23014942
2592.012,0.22797336
2593.955,0.24392296
2595.9,0.24344457
2597.849,0.22865839
2599.8,0.22951598
2601.7549999999997,0.2319014
2603.712,0.23487537
2605.672,0.23904126
2607.635,0.23477912
2609.601,0.23388872
2611.57,0.23118693
2613.542,0.2317279
2615.5170000000003,0.23561316
2617.495,0.24037334
2619.475,0.23665282
2621.4590000000003,0.23926399
2623.446,0.2298431
2625.435,0.23694757
2627.428,0.23694921
2629.424,0.23968628
2631.423,0.24060846
2633.4240000000004,0.23634749
2635.4289999999996,0.23616469
2637.437,0.2335718
2639.447,0.23485265
2641.4610000000002,0.23565932
2643.478,0.23569041
2645.498,0.23798711
2647.5209999999997,0.23758892
2649.547,0.23420546
2651.576,0.23732193
2653.609,0.23997466
2655.6440000000002,0.23895403
2657.682,0.23674043
2659.724,0.23978822
2661.768,0.24017368
2663.8160000000003,0.23970893
2665.867,0.25643354
2667.9210000000003,0.24545413
2669.978,0.2526983
2672.038,0.24911723
2674.102,0.23832056
2676.168,0.249523
2678.238,0.2501305
2680.311,0.24223377
2682.3869999999997,0.23953007
2684.467,0.2438771
2686.549,0.24213607
2688.635,0.24240138
2690.7239999999997,0.2382192
2692.8160000000003,0.24349989
2694.911,0.25054385
2697.01,0.24368253
2699.112,0.24028582
2701.217,0.24441291
2703.325,0.24403449
2705.437,0.24174991
2707.552,0.24492434
2709.67,0.25330385
2711.7909999999997,0.25799663
2713.916,0.24158915
2716.0440000000003,0.23605681
2718.175,0.23144548
2720.31,0.25244708
2722.448,0.23424819
2724.589,0.23294883
2726.734,0.21701646
2728.882,0.20318261
2731.034,0.19680728
2733.188,0.18800228
2735.3469999999998,0.18496465
2737.5080000000003,0.17489737
2739.673,0.17337353
2741.841,0.17005756
2744.013,0.15536544
2746.188,0.15102674
2748.367,0.14661789
2750.549,0.14377716
2752.734,0.13902083
2754.923,0.13989642
2757.1150000000002,0.13649815
2759.3109999999997,0.13089213
2761.5099999999998,0.12890896
2763.713,0.12843163
2765.919,0.12497416
2768.129,0.12329762
2770.3419999999996,0.12193624
2772.559,0.12132743
2774.779,0.11765113
2777.003,0.11669022
2779.23,0.11529382
2781.4610000000002,0.11459411
2783.696,0.11160578
2785.934,0.11177493
2788.1749999999997,0.11112858
2790.42,0.10957602
2792.669,0.1070873
2794.922,0.10619277
2797.1780000000003,0.10506619
2799.4370000000004,0.10478144
2801.7,0.10329151
2803.967,0.10468961
2806.238,0.10314954
2808.5119999999997,0.1033447
2810.789,0.10230025
2813.071,0.10364214
2815.3559999999998,0.10343843
2817.645,0.10431285
2819.937,0.10455424
2822.233,0.10597226
2824.5330000000004,0.10611653
2826.837,0.1073946
2829.144,0.10737607
2831.455,0.1078799
2833.77,0.10728434
2836.089,0.10839768
2838.4109999999996,0.107349
2840.7369999999996,0.10782202
2843.067,0.10743986
2845.401,0.10809668
2847.7389999999996,0.10680524
2850.0800000000004,0.10718471
2852.425,0.10700115
2854.774,0.10668267
2857.1270000000004,0.10546128
2859.484,0.10584854
2861.844,0.10622164
2864.209,0.1062618
2866.5769999999998,0.10540702
2868.949,0.10537948
2871.3250000000003,0.10416044
2873.7050000000004,0.1048563
2876.089,0.10382471
2878.4770000000003,0.10362847
2880.869,0.10349765
2883.2650000000003,0.103827
2885.6639999999998,0.10194973
2888.068,0.1037013
2890.476,0.10393781
2892.887,0.10285887
2895.3030000000003,0.10165791
2897.723,0.10212736
2900.1459999999997,0.1006578
2902.574,0.10127067
2905.0060000000003,0.10011908
2907.441,0.10069324
2909.881,0.10008139
2912.3250000000003,0.10042587
2914.7729999999997,0.09957516
2917.2250000000004,0.10131743
2919.681,0.10107799
2922.142,0.10066535
2924.6059999999998,0.10012108
2927.075,0.09928336
2929.547,0.09929878
2932.0240000000003,0.09976405
2934.505,0.09943665
2936.9900000000002,0.10048739
2939.479,0.10035376
2941.973,0.1010271
2944.471,0.09965427
2946.973,0.10211443
2949.4790000000003,0.10285701
2951.989,0.10026722
2954.504,0.10213079
2957.023,0.10359948
2959.546,0.10130907
2962.0730000000003,0.1011014
2964.605,0.1013333
2967.1409999999996,0.1022657
2969.681,0.10251193
2972.226,0.10310772
2974.775,0.10529459
2977.328,0.10669492
2979.886,0.10400201
2982.4480000000003,0.10530445
2985.0150000000003,0.10474597
2987.586,0.1051045
2990.161,0.10580226
2992.74,0.10811438
2995.324,0.10614401
2997.913,0.1080793
3000.5060000000003,0.10847678
3003.103,0.1096073
3005.705,0.10884509
3008.312,0.10963458
3010.922,0.10929691
3013.538,0.11073617
3016.158,0.11252394
3018.7819999999997,0.11136354
3021.411,0.11202314
3024.044,0.11226042
3026.683,0.11321936
3029.325,0.11412427
3031.972,0.11772285
3034.624,0.11812135
3037.281,0.11431402
3039.942,0.11588764
3042.607,0.1164781
3045.2780000000002,0.11834762
3047.953,0.11697496
3050.6319999999996,0.11680952
3053.317,0.11753377
3056.006,0.11779623
3058.7,0.11876315
3061.398,0.11907695
3064.101,0.1205543
3066.809,0.12148446
3069.522,0.11928471
3072.239,0.11997098
3074.962,0.11983679
3077.689,0.12095645
3080.421,0.12136694
3083.157,0.12146014
3085.899,0.121651
3088.645,0.12371437
3091.396,0.12262616
3094.153,0.12417455
3096.9139999999998,0.12346896
3099.679,0.12533536
3102.4500000000003,0.12687482
3105.226,0.12500019
3108.007,0.12582749
3110.792,0.12644184
3113.583,0.1274425
3116.378,0.12824246
3119.179,0.12821833
3121.985,0.12922372
3124.795,0.12977649
3127.611,0.13061045
3130.431,0.13104934
3133.257,0.1320933
3136.088,0.13239192
3138.924,0.13328155
3141.765,0.13372697
3144.611,0.13520128
3147.462,0.13567415
3150.319,0.13633823
3153.18,0.13733033
3156.047,0.13846784
3158.919,0.13924489
3161.796,0.14016442
3164.678,0.14082259
3167.566,0.14217175
3170.458,0.14240571
3173.356,0.14404419
3176.26,0.14425866
3179.168,0.14622541
3182.082,0.14956182
3185.001,0.14753449
3187.926,0.14777438
3190.856,0.14847606
3193.791,0.15070041
3196.731,0.15217374
3199.6769999999997,0.1509538
3202.629,0.15269499
3205.585,0.15379364
3208.548,0.15451819
3211.515,0.15489463
3214.488,0.15992883
3217.467,0.16143433
3220.451,0.16160737
3223.441,0.15857325
3226.436,0.16214746
3229.437,0.16031192
3232.4429999999998,0.16211347
3235.455,0.16363464
3238.4719999999998,0.1643129
3241.495,0.16384759
3244.523,0.16727591
3247.558,0.16726845
3250.598,0.16957852
3253.643,0.17052478
3256.694,0.17359011
3259.751,0.17378323
3262.8140000000003,0.17115971
3265.882,0.17192792
3268.956,0.17449205
3272.036,0.17530159
3275.1220000000003,0.17498616
3278.213,0.17568372
3281.31,0.17730929
3284.413,0.1785425
3287.522,0.18020605
3290.6369999999997,0.17993711
3293.7569999999996,0.18127535
3296.884,0.1850082
3300.0159999999996,0.18340834
3303.1549999999997,0.18320579
3306.299,0.18572937
3309.449,0.18518954
3312.605,0.18621126
3315.7670000000003,0.18741575
3318.9359999999997,0.18882341
3322.1099999999997,0.18933692
3325.29,0.19158939
3328.476,0.19404379
3331.6690000000003,0.1951945
3334.867,0.19168119
3338.072,0.19339955
3341.282,0.19324335
3344.499,0.19541601
3347.722,0.1959867
3350.9519999999998,0.19765393
3354.187,0.19871424
3357.429,0.19759387
3360.677,0.19828177
3363.931,0.20023322
3367.1910000000003,0.20133245
3370.458,0.20134847
3373.7309999999998,0.20216214
3377.0099999999998,0.20237807
3380.296,0.20290627
3383.588,0.20353414
3386.886,0.20516617
3390.1910000000003,0.20598186
3393.502,0.20629942
3396.82,0.20824959
3400.1440000000002,0.20935371
3403.475,0.21067935
3406.812,0.21366115
3410.1560000000004,0.21240594
3413.506,0.21160086
3416.862,0.21321945
3420.226,0.21367103
3423.596,0.21696224
3426.972,0.21745855
3430.355,0.21724957
3433.745,0.21876589
3437.141,0.22028759
3440.545,0.22293754
3443.954,0.22651652
3447.371,0.22385803
3450.7940000000003,0.22424977
3454.224,0.2251443
3457.661,0.22578785
3461.105,0.22661815
3464.556,0.22852032
3468.013,0.22855359
3471.4770000000003,0.22914376
3474.948,0.23037546
3478.426,0.23119671
3481.911,0.2318537
3485.403,0.2323881
3488.902,0.23389464
3492.4080000000004,0.23800045
3495.9210000000003,0.23568367
3499.441,0.23599222
3502.9680000000003,0.23689967
3506.502,0.23810124
3510.043,0.23936889
3513.592,0.23950509
3517.147,0.24065004
3520.7099999999996,0.24169433
3524.28,0.24358993
3527.857,0.24392382
3531.4410000000003,0.24496781
3535.032,0.24903169
3538.631,0.24742935
3542.237,0.24865104
3545.8509999999997,0.24892221
3549.471,0.25010104
3553.099,0.25106977
3556.735,0.25220912
3560.378,0.25340782
3564.028,0.25402375
3567.686,0.25486528
3571.351,0.25687765
3575.024,0.2570098
3578.704,0.25779827
3582.392,0.25895333
3586.088,0.26088925
3589.791,0.26135337
3593.5009999999997,0.26188523
3597.2200000000003,0.26410585
3600.946,0.26397789
3604.679,0.26447754
3608.421,0.26543305
3612.17,0.26598497
3615.926,0.26862967
3619.691,0.26834422
3623.463,0.26868071
3627.244,0.27034294
3631.0319999999997,0.27033718
3634.828,0.27144326
3638.632,0.27244313
3642.444,0.27293049
3646.263,0.2739718
3650.0910000000003,0.27589239
3653.927,0.27669824
3657.7709999999997,0.27634663
3661.623,0.27737635
3665.483,0.27834171
3669.3509999999997,0.27900334
3673.227,0.28015962
3677.111,0.28096573
3681.0040000000004,0.28294842
3684.905,0.28415996
3688.814,0.28429856
3692.731,0.28476611
3696.656,0.28627729
3700.59,0.287091
3704.532,0.28863736
3708.483,0.28930733
3712.442,0.29026969
3716.409,0.29176763
3720.3849999999998,0.29272304
3724.37,0.29416281
3728.362,0.295457
3732.364,0.29606109
3736.3740000000003,0.29746084
3740.392,0.29910638
3744.4190000000003,0.30039853
3748.455,0.30231575
3752.499,0.30326916
3756.553,0.30446662
3760.614,0.30476861
3764.685,0.30648667
3768.764,0.30723539
3772.853,0.30896431
3776.95,0.30965553
3781.056,0.3108048
3785.17,0.31205196
3789.294,0.31399501
3793.4269999999997,0.31522129
3797.568,0.31566137
3801.719,0.3177605
3805.879,0.31916777
3810.0480000000002,0.32011749
3814.225,0.32126203
3818.412,0.32280065
3822.609,0.32385652
3826.8140000000003,0.32545415
3831.029,0.32611497
3835.252,0.32677588
3839.486,0.32821247
3843.728,0.32918483
3847.98,0.33040223
3852.241,0.33165722
3856.5119999999997,0.33361503
3860.792,0.33459008
3865.081,0.33610837
3869.38,0.33711081
3873.6890000000003,0.33885728
3878.007,0.33972866
3882.3340000000003,0.34108887
3886.672,0.34249615
3891.0190000000002,0.3439552
3895.375,0.34558096
3899.7419999999997,0.34724008
3904.118,0.34835339
3908.5040000000004,0.34977557
3912.9,0.35039072
3917.305,0.35254
3921.721,0.35335398
3926.146,0.35503686
3930.581,0.35611044
3935.027,0.35772684
3939.482,0.35892625
3943.948,0.36102456
3948.4230000000002,0.36222589
3952.909,0.36394889
3957.405,0.36532057
3961.911,0.36760282
3966.427,0.3688202
3970.9539999999997,0.37091442
3975.491,0.37194586
3980.038,0.37428141
3984.5950000000003,0.37567606
3989.163,0.37695744
3993.742,0.378533
3998.3300000000004,0.38027583
4002.9300000000003,0.38116871
4007.5399999999995,0.38337302
4012.16,0.38403737
4016.7909999999997,0.38589759
4021.433,0.38685006
4026.0860000000002,0.38836991
4030.7490000000003,0.38978185
4035.423,0.39159684
4040.108,0.39350288
4044.804,0.39549676
4049.5099999999998,0.39732277
4054.228,0.39946516
