Composition,
Date Added,2022-04-27 20:04:45.356318
Formula,
Grain Size,
Locality,
Minimum Wavelength,350.0
Sample Name,Basalt
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,ASD Spectra
Resolution,
Material Class,
Sample Description,
Sample ID,Sa51a <45um_0_f1
Original Sample ID,Sa51a <45um
Sample Type,None
Viewing Geometry,0°/30°
0°/30°
Wavelength,Response
350.0,0.101004527
351.0,0.100730499
352.0,0.100198683
353.0,0.09950798
354.0,0.098610542
355.0,0.100319177
356.0,0.101846312
357.0,0.10032128
358.0,0.100918836
359.0,0.100708102
360.0,0.098937095
361.0,0.1010254
362.0,0.101944803
363.0,0.101839317
364.0,0.101031934
365.0,0.101243612
366.0,0.10179474
367.0,0.10219237
368.0,0.104174907
369.0,0.105620499
370.0,0.106056893
371.0,0.106218181
372.0,0.106056834
373.0,0.105888648
374.0,0.107030032
375.0,0.10823422
376.0,0.109682028
377.0,0.111671678
378.0,0.111545267
379.0,0.111819519
380.0,0.112967192
381.0,0.114183125
382.0,0.115028938
383.0,0.115569719
384.0,0.115801556
385.0,0.116320327
386.0,0.116925992
387.0,0.117509879
388.0,0.119783132
389.0,0.120768328
390.0,0.120117393
391.0,0.121695722
392.0,0.12210251
393.0,0.122069468
394.0,0.123363012
395.0,0.124852052
396.0,0.125732081
397.0,0.125315965
398.0,0.126419127
399.0,0.127238976
400.0,0.127568197
401.0,0.127589412
402.0,0.128422358
403.0,0.129501109
404.0,0.129799839
405.0,0.130786462
406.0,0.131609373
407.0,0.131810147
408.0,0.132340974
409.0,0.133082328
410.0,0.133978873
411.0,0.134584153
412.0,0.135086109
413.0,0.135594711
414.0,0.136361962
415.0,0.136530757
416.0,0.136936943
417.0,0.138022176
418.0,0.138486296
419.0,0.138898429
420.0,0.139344828
421.0,0.14032207
422.0,0.140971028
423.0,0.141485546
424.0,0.142115534
425.0,0.143036312
426.0,0.143719775
427.0,0.143930658
428.0,0.144741899
429.0,0.145504244
430.0,0.146216414
431.0,0.147211585
432.0,0.147933627
433.0,0.148488761
434.0,0.148947456
435.0,0.149714394
436.0,0.150578605
437.0,0.151497823
438.0,0.15201802
439.0,0.152743511
440.0,0.153597806
441.0,0.153986583
442.0,0.154825
443.0,0.155757003
444.0,0.156378918
445.0,0.156945113
446.0,0.157544981
447.0,0.158214276
448.0,0.158886692
449.0,0.159585988
450.0,0.160313441
451.0,0.161072813
452.0,0.161623487
453.0,0.162164647
454.0,0.162922086
455.0,0.163527618
456.0,0.16408125
457.0,0.164605685
458.0,0.165028536
459.0,0.165529511
460.0,0.166104626
461.0,0.166783064
462.0,0.167365582
463.0,0.167874124
464.0,0.168298611
465.0,0.168850623
466.0,0.169335126
467.0,0.169704606
468.0,0.170196453
469.0,0.170608288
470.0,0.170994448
471.0,0.171585128
472.0,0.172023589
473.0,0.172414358
474.0,0.172836287
475.0,0.173177223
476.0,0.173632602
477.0,0.174238343
478.0,0.174634478
479.0,0.175051799
480.0,0.175488253
481.0,0.175967344
482.0,0.176443537
483.0,0.176935964
484.0,0.177463327
485.0,0.177873452
486.0,0.178309356
487.0,0.178795286
488.0,0.179412949
489.0,0.179908468
490.0,0.180358659
491.0,0.180937728
492.0,0.18144352
493.0,0.18194897
494.0,0.182505665
495.0,0.183080676
496.0,0.183641579
497.0,0.184185979
498.0,0.184771991
499.0,0.185413144
500.0,0.186065491
501.0,0.186631121
502.0,0.187240012
503.0,0.187862373
504.0,0.188499304
505.0,0.189101788
506.0,0.189730571
507.0,0.190384494
508.0,0.191008119
509.0,0.191629023
510.0,0.192271023
511.0,0.193017074
512.0,0.193710958
513.0,0.194406448
514.0,0.195129426
515.0,0.195848375
516.0,0.19664142
517.0,0.197492206
