Composition,
Date Added,2022-04-27 19:59:58.231553
Formula,
Grain Size,<45
Locality,
Minimum Wavelength,350.0
Sample Name,Hematite
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,180613b00008.asd
15.36. Mixtures: Hematite + Ilmenite
Resolution,3@700 nm; 6@1400/2100nm
Material Class,
Sample Description,Hematite
100% HEM105
Sample ID,HEM105
Original Sample ID,HEM105
Sample Type,None
Viewing Geometry,I=30°_ e=0°
Wavelength,Response
350.0,0.033267748
351.0,0.032580828
352.0,0.033195922
353.0,0.032875915
354.0,0.030947121
355.0,0.030997868
356.0,0.031446964
357.0,0.031407962
358.0,0.030618063
359.0,0.030246568
360.0,0.030925123
361.0,0.031504318
362.0,0.030263473
363.0,0.029603162
364.0,0.029731669
365.0,0.030334803
366.0,0.030816721
367.0,0.030949117
368.0,0.03082214
369.0,0.030670529
370.0,0.030854299
371.0,0.031092319
372.0,0.031213875
373.0,0.03113841
374.0,0.030997206
375.0,0.030761401
376.0,0.030679167
377.0,0.031125751
378.0,0.030972741
379.0,0.030834981
380.0,0.031111847
381.0,0.031382596
382.0,0.031378894
383.0,0.031021604
384.0,0.030519208
385.0,0.030767156
386.0,0.031017983
387.0,0.03119542
388.0,0.031539494
389.0,0.031274493
390.0,0.03111333
391.0,0.031257898
392.0,0.031118206
393.0,0.031402422
394.0,0.03164995
395.0,0.031509218
396.0,0.031575424
397.0,0.031449848
398.0,0.031302014
399.0,0.03143098
400.0,0.031470066
401.0,0.03145366
402.0,0.031518641
403.0,0.031827966
404.0,0.031677224
405.0,0.031469509
406.0,0.03153425
407.0,0.031672011
408.0,0.031749438
409.0,0.031701715
410.0,0.031554108
411.0,0.031552249
412.0,0.031536524
413.0,0.031492921
414.0,0.031520021
415.0,0.031492385
416.0,0.031471908
417.0,0.031486645
418.0,0.031458457
419.0,0.031470138
420.0,0.031519818
421.0,0.031570013
422.0,0.031549535
423.0,0.031494352
424.0,0.031478116
425.0,0.031574456
426.0,0.031616395
427.0,0.03155699
428.0,0.031458484
429.0,0.031532501
430.0,0.031483901
431.0,0.031410928
432.0,0.031452489
433.0,0.03146961
434.0,0.031432175
435.0,0.0313917
436.0,0.031430687
437.0,0.031377644
438.0,0.031321625
439.0,0.031312964
440.0,0.031281848
441.0,0.031297407
442.0,0.031276974
443.0,0.031172564
444.0,0.031259264
445.0,0.031250063
446.0,0.031128991
447.0,0.031077517
448.0,0.031053038
449.0,0.031053269
450.0,0.031058435
451.0,0.031013318
452.0,0.030949649
453.0,0.030885784
454.0,0.030837351
455.0,0.030827988
456.0,0.030835122
457.0,0.030820945
458.0,0.03074539
459.0,0.030649997
460.0,0.030606839
461.0,0.030637765
462.0,0.030667091
463.0,0.030656167
464.0,0.030606288
465.0,0.030546855
466.0,0.030542716
467.0,0.030516586
468.0,0.030469881
469.0,0.030475373
470.0,0.030490173
471.0,0.030473393
472.0,0.030422497
473.0,0.030413908
