Composition,
Date Added,2022-04-27 19:59:58.311849
Formula,
Grain Size,Pellet
Locality,
Minimum Wavelength,350.0
Sample Name,Hematite
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,171113a00009.asd
9.6. Other oxides: Pressed pellets: diffuse and specular geometry
Resolution,2@350-7@2500nm
Material Class,
Sample Description,Relative to aluminum mirror
Pressed pellet
25 tons
Specular geometry
Sample ID,HEM200_2
Original Sample ID,HEM200
Sample Type,None
Viewing Geometry,I30_ e30
Wavelength,Response
350.0,0.066785881
351.0,0.066296951
352.0,0.066021705
353.0,0.065948204
354.0,0.065970747
355.0,0.065945644
356.0,0.066210322
357.0,0.066496346
358.0,0.066535025
359.0,0.066721188
360.0,0.067170587
361.0,0.067590957
362.0,0.067577993
363.0,0.067837563
364.0,0.068220086
365.0,0.068581296
366.0,0.068904702
367.0,0.069305133
368.0,0.069744176
369.0,0.070166351
370.0,0.070549482
371.0,0.071067605
372.0,0.071562754
373.0,0.071856315
374.0,0.072424127
375.0,0.073015019
376.0,0.073546376
377.0,0.074113332
378.0,0.074662467
379.0,0.075105408
380.0,0.075464447
381.0,0.07596115
382.0,0.076433726
383.0,0.076898784
384.0,0.077380799
385.0,0.077742821
386.0,0.07810235
387.0,0.078442604
388.0,0.078698376
389.0,0.079119597
390.0,0.079538637
391.0,0.079855712
392.0,0.0801132
393.0,0.080384189
394.0,0.080718301
395.0,0.081113076
396.0,0.08146188
397.0,0.081790329
398.0,0.08211273
399.0,0.082433261
400.0,0.082713838
401.0,0.083018733
402.0,0.083345766
403.0,0.083629847
404.0,0.083959686
405.0,0.084262324
406.0,0.084498146
407.0,0.084741043
408.0,0.085076451
409.0,0.085424086
410.0,0.08567946
411.0,0.085919781
412.0,0.086156139
413.0,0.08641307
414.0,0.086716489
415.0,0.08695127
416.0,0.087174199
417.0,0.087421598
418.0,0.08764771
419.0,0.087867075
420.0,0.088077257
421.0,0.08827376
422.0,0.088461918
423.0,0.088637955
424.0,0.088806265
425.0,0.08897446
426.0,0.089114012
427.0,0.089271988
428.0,0.089433764
429.0,0.089462589
430.0,0.089566848
431.0,0.089714453
432.0,0.089823988
433.0,0.089913762
434.0,0.090013117
435.0,0.090114289
436.0,0.090187612
437.0,0.090264579
438.0,0.090325371
439.0,0.090356982
440.0,0.090365848
441.0,0.090392963
442.0,0.090416479
443.0,0.090405627
444.0,0.090376881
445.0,0.090342147
446.0,0.090287886
447.0,0.090191319
448.0,0.090143677
449.0,0.090108427
450.0,0.090054843
451.0,0.089996587
452.0,0.089931929
453.0,0.089868941
454.0,0.089814263
455.0,0.089757571
456.0,0.08968736
457.0,0.089613742
458.0,0.089561936
459.0,0.089516622
460.0,0.089465662
461.0,0.089410187
462.0,0.089378923
463.0,0.089327891
464.0,0.089272882
465.0,0.08924131
466.0,0.089205658
467.0,0.089166278
468.0,0.08913418
469.0,0.089126009
470.0,0.0891087
471.0,0.089077043
472.0,0.08904332
473.0,0.089047969
474.0,0.089056223
475.0,0.089057179
476.0,0.08905109
477.0,0.089043038
478.0,0.089056871
479.0,0.0890921
480.0,0.089122547
481.0,0.089149862
482.0,0.089183049
483.0,0.089227834
484.0,0.089276608
485.0,0.089326765
486.0,0.0893759
487.0,0.089421403
488.0,0.089456504
489.0,0.089487539
490.0,0.089522464
491.0,0.089569328
492.0,0.089618695
493.0,0.089672775
494.0,0.089730829
495.0,0.089773667
496.0,0.089814757
497.0,0.08985568
498.0,0.089891613
499.0,0.08992853
500.0,0.089969159
501.0,0.090015877
502.0,0.090072025
503.0,0.090116592
504.0,0.090152794
505.0,0.090192227
506.0,0.090248599
507.0,0.090288034
508.0,0.090322238
509.0,0.090394377
510.0,0.090462187
511.0,0.090530741
512.0,0.090605543
513.0,0.090677236
514.0,0.090750664
515.0,0.090834719
516.0,0.090933691
517.0,0.09102195
518.0,0.091091034
519.0,0.091157157
520.0,0.091257659
521.0,0.091368311
522.0,0.091477811
523.0,0.091582867
524.0,0.091694254
525.0,0.091810245
526.0,0.091916006
527.0,0.091998882
528.0,0.092111472
529.0,0.092234523
530.0,0.092354296
531.0,0.092474829
532.0,0.092587243
533.0,0.092691067
534.0,0.092789726
535.0,0.09289044
536.0,0.092990882
537.0,0.093093355
538.0,0.093201756
539.0,0.09329869
540.0,0.093388883
541.0,0.093475046
542.0,0.093549082
543.0,0.093621001
544.0,0.093690007
545.0,0.09375333
546.0,0.093821678
547.0,0.093867731
548.0,0.093889194
549.0,0.093909739
550.0,0.09393152
551.0,0.093946663
552.0,0.09394991
553.0,0.093950307
554.0,0.093939175
555.0,0.093921604
556.0,0.093907115
557.0,0.093883196
558.0,0.093844134
559.0,0.093789094
560.0,0.093722744
561.0,0.093647286
562.0,0.093567627
563.0,0.09348571
564.0,0.093390539
565.0,0.0932883
566.0,0.093186797
567.0,0.093093013
568.0,0.092989957
569.0,0.092887219
570.0,0.09278788
571.0,0.092672926
572.0,0.092550676
573.0,0.092423384
574.0,0.09229344
575.0,0.092173562
576.0,0.092051425
577.0,0.091929609
578.0,0.091827482
579.0,0.091720088
580.0,0.091610017
581.0,0.091501013
582.0,0.091379764
583.0,0.0912679
584.0,0.091164786
585.0,0.091058801
586.0,0.090960257
587.0,0.090854758
588.0,0.090739463
589.0,0.090632789
590.0,0.090524787
591.0,0.090415867
592.0,0.090307824
593.0,0.090195262
594.0,0.090083202
595.0,0.089973804
596.0,0.089866991
597.0,0.089771966
598.0,0.089683634
599.0,0.089600028
600.0,0.089532784
601.0,0.089460814
602.0,0.08938623
603.0,0.08931683
604.0,0.08923551
605.0,0.089152471
606.0,0.08907703
607.0,0.089014755
608.0,0.088959622
609.0,0.088904918
