Composition,
Date Added,2022-04-27 20:00:03.646756
Formula,
Grain Size,
Locality,
Minimum Wavelength,213.0
Sample Name,Hematite
Maximum Wavelength,2976.0
Database of Origin,USGS Spectral Database
Other Information,
References,
Resolution,
Material Class,Oxide
Sample Description,See USGS database for additional info
Sample ID,Hematite_fe2602.9271
Original Sample ID,
Sample Type,None
Viewing Geometry,
Wavelength,Response
213.1,0.050723
221.1,0.051578
229.1,0.051899
236.1,0.050821
242.1,0.050461
248.1,0.050524
253.6,0.05004
258.6,0.050578
263.6,0.051034
268.6,0.050683
277.1,0.046431
281.1,0.046306
285.1,0.046409
289.1,0.046092
293.1,0.045305
297.1,0.046179
301.1,0.049357
305.1,0.048058
309.1,0.049491
313.1,0.04885
317.1,0.050044
321.1,0.04984
325.1,0.04976
329.1,0.048946
333.1,0.048891
337.1,0.047762
341.1,0.047426
345.1,0.047252
349.1,0.047292
353.1,0.047749
357.1,0.048334
360.6,0.049208
363.6,0.049725
366.6,0.050941
369.6,0.051452
372.6,0.052409
375.6,0.053173
378.6,0.054683
381.1,0.054179
383.1,0.05503
385.1,0.055499
387.1,0.055798
389.1,0.056751
391.1,0.056686
393.1,0.057367
395.1,0.057378
397.1,0.057728
399.1,0.05791
401.1,0.058961
403.1,0.058704
405.1,0.058923
407.1,0.059047
409.1,0.059456
411.1,0.060631
412.8,0.059899
415.8,0.059847
418.8,0.060937
421.8,0.060438
424.8,0.06081
427.8,0.06075
430.8,0.061158
433.8,0.060545
436.8,0.061405
439.8,0.060645
442.8,0.06083
445.8,0.060184
448.8,0.059902
451.3,0.06022
453.3,0.059718
455.3,0.060233
457.3,0.058737
459.3,0.05907
461.3,0.058722
463.3,0.059671
465.3,0.058598
467.3,0.0586
469.3,0.058311
471.3,0.058356
473.3,0.058211
475.3,0.057937
477.3,0.058473
479.3,0.057953
481.3,0.05758
483.3,0.057741
485.3,0.057946
487.3,0.058207
489.3,0.057468
491.3,0.057237
493.3,0.05752
495.3,0.057083
497.3,0.057419
499.3,0.057569
501.3,0.057066
503.3,0.057642
505.3,0.057441
507.3,0.05689
509.3,0.057647
511.3,0.056927
513.3,0.057879
515.3,0.057251
517.3,0.056382
519.3,0.057372
521.3,0.057401
523.3,0.058678
525.3,0.057472
527.3,0.057826
529.3,0.058109
531.3,0.058113
533.3,0.05791
535.3,0.057953
537.3,0.059899
539.3,0.059316
541.3,0.060444
543.3,0.059467
545.3,0.057952
547.3,0.059729
549.3,0.058899
551.3,0.059662
553.3,0.059162
555.3,0.060769
557.3,0.059908
559.3,0.060052
561.3,0.060604
563.3,0.060794
565.3,0.060887
567.3,0.060581
569.3,0.061711
571.3,0.061419
573.3,0.06288
575.3,0.061699
577.3,0.063434
579.3,0.063841
581.3,0.064824
583.3,0.065369
585.3,0.066403
587.3,0.06746
589.3,0.068407
591.3,0.069909
593.3,0.07056
595.3,0.071805
597.3,0.072927
599.3,0.074165
601.1,0.074773
