Composition,
Date Added,2022-04-27 20:00:03.799513
Formula,
Grain Size,
Locality,
Minimum Wavelength,229.0
Sample Name,Hematite
Maximum Wavelength,2976.0
Database of Origin,USGS Spectral Database
Other Information,
References,
Resolution,
Material Class,Oxide
Sample Description,See USGS database for additional info
Sample ID,Hematite_gds69.9419
Original Sample ID,
Sample Type,None
Viewing Geometry,
Wavelength,Response
229.1,0.117249
236.1,0.109646
242.1,0.107649
248.1,0.101502
253.6,0.10139
258.6,0.09985
263.6,0.098567
268.6,0.09832
273.1,0.099557
277.1,0.099043
281.1,0.098499
285.1,0.095423
289.1,0.09592
293.1,0.094205
297.1,0.09491
301.1,0.093724
305.1,0.092281
309.1,0.092139
313.1,0.091051
317.1,0.089818
321.1,0.08853
325.1,0.085499
329.1,0.084498
333.1,0.086085
337.1,0.081548
341.1,0.079081
345.1,0.080092
349.1,0.076716
353.1,0.07937
357.1,0.083122
360.6,0.081471
363.6,0.081922
366.6,0.083019
369.6,0.083761
372.6,0.08504
375.6,0.084618
378.6,0.086968
381.1,0.08724
383.1,0.088477
385.1,0.089607
387.1,0.090141
389.1,0.090953
391.1,0.091015
393.1,0.091134
395.1,0.093938
397.1,0.092492
399.1,0.091609
401.1,0.092576
403.1,0.094825
405.1,0.093893
407.1,0.094347
409.1,0.094267
411.1,0.094075
412.8,0.094899
415.8,0.094943
418.8,0.094615
421.8,0.095517
424.8,0.096658
427.8,0.095276
430.8,0.095522
433.8,0.095366
436.8,0.095055
439.8,0.095952
442.8,0.094307
445.8,0.093722
448.8,0.09269
451.3,0.092915
453.3,0.09397
455.3,0.09178
457.3,0.091522
459.3,0.091902
461.3,0.0913
463.3,0.090216
465.3,0.090153
467.3,0.090109
469.3,0.089702
471.3,0.089342
473.3,0.08881
475.3,0.089034
477.3,0.088561
479.3,0.088346
481.3,0.087948
483.3,0.088988
485.3,0.087528
487.3,0.087371
489.3,0.089646
491.3,0.087073
493.3,0.086321
495.3,0.087158
497.3,0.086817
499.3,0.086031
501.3,0.087954
503.3,0.086186
505.3,0.086191
507.3,0.086089
509.3,0.084109
511.3,0.088367
513.3,0.085949
515.3,0.086037
517.3,0.087813
519.3,0.086111
521.3,0.08622
523.3,0.08601
525.3,0.086339
527.3,0.085525
529.3,0.088348
531.3,0.0864
533.3,0.086995
535.3,0.086743
537.3,0.086085
539.3,0.086819
541.3,0.086791
543.3,0.087105
545.3,0.086934
547.3,0.088844
549.3,0.086914
551.3,0.085765
553.3,0.086344
555.3,0.08697
557.3,0.08613
559.3,0.086854
561.3,0.085269
563.3,0.085441
565.3,0.085908
567.3,0.085774
569.3,0.085502
571.3,0.08555
573.3,0.087331
575.3,0.085173
577.3,0.082963
579.3,0.08508
581.3,0.084423
583.3,0.084581
585.3,0.08504
587.3,0.08469
589.3,0.084824
591.3,0.085249
593.3,0.08687
595.3,0.084478
597.3,0.085281
599.3,0.084745
601.1,0.085461
602.7,0.085407
604.3,0.084719
605.9,0.089341
607.5,0.084816
609.1,0.089237
610.7,0.084792
612.3,0.084617
613.9,0.087439
615.5,0.084591
617.1,0.085278
618.7,0.088243
620.3,0.084755
621.9,0.084813
623.5,0.084397
625.1,0.085189
626.7,0.084725
628.3,0.084853
629.9,0.08423
631.7,0.084117
633.7,0.08417
635.7,0.083963
637.7,0.083843
639.7,0.083791
641.7,0.083671
643.7,0.083509
645.7,0.08357
647.7,0.083431
649.7,0.085443
651.7,0.082634
653.7,0.083653
655.7,0.083329
657.7,0.083332
659.7,0.083372
661.7,0.083874
663.7,0.084235
665.7,0.082773
667.7,0.083955
670.2,0.083371
673.2,0.08382
676.2,0.083663
679.2,0.084063
682.2,0.083651
685.2,0.083787
688.2,0.084279
691.2,0.084638
694.2,0.084251
697.2,0.085397
700.2,0.083555
702.0,0.085195
704.0,0.085135
706.0,0.085535
708.0,0.085618
710.0,0.088288
712.0,0.085339
714.0,0.086362
716.0,0.08668
718.0,0.086831
720.0,0.085408
722.0,0.086861
724.0,0.087089
726.0,0.087223
728.0,0.087001
730.0,0.087006
732.0,0.087127
734.0,0.087182
736.0,0.086136
738.0,0.0869
740.0,0.08999
742.0,0.085824
744.0,0.092139
746.0,0.088073
748.0,0.090288
750.5,0.087856
753.5,0.087421
756.5,0.089425
759.5,0.086994
762.5,0.086499
765.5,0.086345
768.5,0.085186
771.5,0.085874
774.5,0.085183
777.5,0.08467
781.0,0.084769
785.0,0.085823
789.0,0.084088
793.0,0.086876
797.0,0.081394
801.5,0.082547
806.5,0.08147
811.5,0.081898
816.5,0.081681
822.0,0.081533
828.0,0.079877
835.0,0.080439
843.0,0.079927
851.0,0.084033
859.0,0.083409
871.0,0.082852
883.0,0.080803
894.0,0.083207
904.0,0.080221
914.0,0.0821
924.0,0.079922
933.0,0.081133
941.0,0.082309
949.0,0.08276
957.0,0.083469
964.0,0.085396
970.0,0.082611
976.0,0.088634
982.0,0.084707
988.0,0.090446
994.0,0.087585
1000.0,0.090263
1006.0,0.093924
1012.0,0.095699
1018.0,0.097206
