Composition,
Date Added,2022-04-27 20:00:04.069228
Formula,
Grain Size,
Locality,
Minimum Wavelength,242.0
Sample Name,Hematite
Maximum Wavelength,2976.0
Database of Origin,USGS Spectral Database
Other Information,
References,
Resolution,
Material Class,Oxide
Sample Description,See USGS database for additional info
Sample ID,Hematite_hs45.9722
Original Sample ID,
Sample Type,None
Viewing Geometry,
Wavelength,Response
242.1,0.023697
248.1,0.031245
253.6,0.028109
258.6,0.033012
263.6,0.034907
268.6,0.039818
273.1,0.035631
277.1,0.037187
281.1,0.03841
285.1,0.041065
289.1,0.038863
293.1,0.037621
297.1,0.03936
301.1,0.036812
305.1,0.037811
309.1,0.038943
313.1,0.039266
317.1,0.039891
321.1,0.040987
325.1,0.040773
329.1,0.04029
333.1,0.040594
337.1,0.039988
341.1,0.03996
345.1,0.0405
349.1,0.04083
353.1,0.042144
357.1,0.042714
360.6,0.043114
363.6,0.043861
366.6,0.042957
369.6,0.045547
372.6,0.04464
375.6,0.045372
378.6,0.046575
381.1,0.046461
383.1,0.047173
385.1,0.047196
387.1,0.047631
389.1,0.047398
391.1,0.047438
393.1,0.047284
395.1,0.049469
397.1,0.048429
399.1,0.049604
401.1,0.048655
403.1,0.049336
405.1,0.049366
407.1,0.049145
409.1,0.049255
411.1,0.050813
412.8,0.050018
415.8,0.04962
418.8,0.050305
421.8,0.050006
424.8,0.050545
427.8,0.050259
430.8,0.049869
433.8,0.050287
436.8,0.050127
439.8,0.049319
442.8,0.050195
445.8,0.049454
448.8,0.049254
451.3,0.049548
453.3,0.050218
455.3,0.048386
457.3,0.048849
459.3,0.047539
461.3,0.048304
463.3,0.048225
465.3,0.047449
467.3,0.047835
469.3,0.047065
471.3,0.048403
473.3,0.047288
475.3,0.048373
477.3,0.048099
479.3,0.047736
481.3,0.046616
483.3,0.04748
485.3,0.046846
487.3,0.047236
489.3,0.047198
491.3,0.046705
493.3,0.046719
495.3,0.046293
497.3,0.046124
499.3,0.046905
501.3,0.046243
503.3,0.046065
505.3,0.045994
507.3,0.046572
509.3,0.046359
511.3,0.046328
513.3,0.046246
515.3,0.046259
517.3,0.046588
519.3,0.04614
521.3,0.046774
523.3,0.047022
525.3,0.046224
527.3,0.046401
529.3,0.046043
531.3,0.046734
533.3,0.047719
535.3,0.046276
537.3,0.047245
539.3,0.046782
541.3,0.046923
543.3,0.047346
545.3,0.048086
547.3,0.047353
549.3,0.047534
551.3,0.046942
553.3,0.047618
555.3,0.047226
557.3,0.047997
559.3,0.048072
561.3,0.049144
563.3,0.048556
565.3,0.048541
567.3,0.049493
569.3,0.049644
571.3,0.050081
573.3,0.050589
575.3,0.052549
577.3,0.051992
579.3,0.053081
581.3,0.054672
583.3,0.054247
585.3,0.054992
587.3,0.056767
589.3,0.058535
591.3,0.059628
593.3,0.060462
595.3,0.062527
597.3,0.06224
599.3,0.063854
601.1,0.064544
602.7,0.065327
604.3,0.066227
605.9,0.066497
607.5,0.066438
609.1,0.067269
610.7,0.068589
612.3,0.069535
