Composition,
Date Added,2022-04-27 20:00:04.123039
Formula,
Grain Size,
Locality,
Minimum Wavelength,221.0
Sample Name,Hematite
Maximum Wavelength,2976.0
Database of Origin,USGS Spectral Database
Other Information,
References,
Resolution,
Material Class,Oxide
Sample Description,See USGS database for additional info
Sample ID,Hematite_ws161.9776
Original Sample ID,
Sample Type,None
Viewing Geometry,
Wavelength,Response
221.1,0.028804
229.1,0.02877
236.1,0.026715
242.1,0.026802
248.1,0.025759
253.6,0.02615
258.6,0.026418
263.6,0.025368
268.6,0.024879
273.1,0.023816
277.1,0.023622
281.1,0.025021
285.1,0.02473
289.1,0.02373
293.1,0.023892
297.1,0.024681
301.1,0.024975
305.1,0.025171
309.1,0.025425
313.1,0.026021
317.1,0.024657
321.1,0.025772
325.1,0.025064
329.1,0.024558
333.1,0.023444
337.1,0.022269
341.1,0.022409
345.1,0.02186
349.1,0.021459
353.1,0.023363
357.1,0.023206
360.6,0.023201
363.6,0.022677
366.6,0.024915
369.6,0.02466
372.6,0.022845
375.6,0.025602
378.6,0.026806
381.1,0.024604
383.1,0.026033
385.1,0.027519
387.1,0.026704
389.1,0.024892
391.1,0.025777
393.1,0.026999
395.1,0.0269
397.1,0.02692
399.1,0.027054
401.1,0.02562
403.1,0.026778
405.1,0.025691
407.1,0.026243
409.1,0.026346
411.1,0.028265
412.8,0.028469
415.8,0.025369
418.8,0.028458
421.8,0.028542
424.8,0.028441
427.8,0.026628
430.8,0.027931
433.8,0.028534
436.8,0.02849
439.8,0.028831
442.8,0.02551
445.8,0.028489
448.8,0.028684
451.3,0.027519
453.3,0.026906
455.3,0.02616
457.3,0.025744
459.3,0.025068
461.3,0.027609
463.3,0.024498
465.3,0.026905
467.3,0.028739
469.3,0.026397
471.3,0.026132
473.3,0.024641
475.3,0.024252
477.3,0.027303
479.3,0.027167
481.3,0.027163
483.3,0.027757
485.3,0.026604
487.3,0.027463
489.3,0.025829
491.3,0.025613
493.3,0.026848
495.3,0.027166
497.3,0.026075
499.3,0.027756
501.3,0.027003
503.3,0.024426
505.3,0.02537
507.3,0.026069
509.3,0.02705
511.3,0.027246
513.3,0.025071
515.3,0.025115
517.3,0.026803
519.3,0.026933
521.3,0.026733
523.3,0.026867
525.3,0.026471
527.3,0.0271
529.3,0.025873
531.3,0.026278
533.3,0.027518
535.3,0.028135
537.3,0.025681
539.3,0.02819
541.3,0.027786
543.3,0.02681
545.3,0.028601
547.3,0.028256
549.3,0.02957
551.3,0.028735
553.3,0.029805
555.3,0.030603
557.3,0.033089
559.3,0.033051
561.3,0.032275
563.3,0.033995
565.3,0.034157
567.3,0.036699
569.3,0.038447
571.3,0.039036
573.3,0.041312
575.3,0.044198
577.3,0.045301
579.3,0.046281
581.3,0.052586
583.3,0.053594
585.3,0.056885
587.3,0.058608
589.3,0.061764
591.3,0.066449
593.3,0.069996
595.3,0.073175
597.3,0.075256
599.3,0.077204
601.1,0.079414
602.7,0.082925
604.3,0.084135
605.9,0.082532
607.5,0.086448
609.1,0.087238
610.7,0.090301
612.3,0.091542
613.9,0.090365
615.5,0.094716
617.1,0.096265
618.7,0.096632
620.3,0.095071
621.9,0.097386
623.5,0.098627
625.1,0.098915
626.7,0.099862
628.3,0.099713
629.9,0.100113
631.7,0.10235
633.7,0.103081
635.7,0.102629
637.7,0.104802
639.7,0.10405
641.7,0.106797
643.7,0.106172
645.7,0.106017
647.7,0.108161
649.7,0.108919
651.7,0.109384
653.7,0.111181
655.7,0.112796
657.7,0.112598
659.7,0.113615
661.7,0.114908
663.7,0.117644
665.7,0.117564
667.7,0.118921
670.2,0.119341
673.2,0.124395
676.2,0.126748
679.2,0.127899
682.2,0.131498
685.2,0.13434
688.2,0.13828
691.2,0.140687
694.2,0.144872
697.2,0.1482
700.2,0.152678
702.0,0.153985
704.0,0.157473
706.0,0.15783
708.0,0.159667
710.0,0.164909
712.0,0.167002
714.0,0.166643
716.0,0.16823
718.0,0.172457
720.0,0.174529
722.0,0.176679
724.0,0.177232
726.0,0.178712
728.0,0.180097
730.0,0.18183
732.0,0.184048
734.0,0.186419
736.0,0.185479
738.0,0.185652
740.0,0.187458
742.0,0.188559
744.0,0.188816
746.0,0.187724
748.0,0.188412
750.5,0.188152
753.5,0.185027
756.5,0.186036
759.5,0.184167
762.5,0.18424
765.5,0.182585
768.5,0.180337
771.5,0.177323
774.5,0.177071
777.5,0.175551
781.0,0.172208
785.0,0.168442
789.0,0.165485
793.0,0.162634
797.0,0.160862
801.5,0.158349
806.5,0.154415
811.5,0.150804
816.5,0.149836
822.0,0.146788
828.0,0.14474
835.0,0.142285
843.0,0.141518
851.0,0.141936
859.0,0.141828
871.0,0.146422
883.0,0.145831
894.0,0.156214
904.0,0.161407
914.0,0.167857
924.0,0.17596
933.0,0.182694
941.0,0.19612
949.0,0.202717
957.0,0.213641
964.0,0.224118
970.0,0.233895
976.0,0.24045
982.0,0.247067
988.0,0.25568
994.0,0.262745
1000.0,0.26848
1006.0,0.275116
1012.0,0.279171
1018.0,0.288127
1023.5,0.291045
1028.5,0.294184
1033.5,0.295798
1038.5,0.30169
1043.5,0.302968
1048.5,0.30395
1053.5,0.308806
1058.5,0.312562
1063.5,0.315725
1068.5,0.31704
1073.5,0.320883
1078.5,0.32253
1083.5,0.323821
1088.5,0.327868
1093.5,0.32847
1098.5,0.329595
1103.5,0.333542
1108.5,0.335434
1113.5,0.34077
1118.5,0.340031
1123.5,0.342319
1128.5,0.345839
1133.5,0.347747
1138.5,0.344934
1143.5,0.350108
1148.5,0.351837
1153.5,0.352393
1158.5,0.353041
1163.5,0.354201
1168.5,0.353623
1173.5,0.357628
1178.5,0.361908
1183.5,0.360386
1188.5,0.361889
1193.5,0.360104
1198.5,0.361521
1203.5,0.363042
1208.5,0.364927
1213.5,0.363911
1218.5,0.362903
1223.5,0.361639
1228.5,0.365411
1233.5,0.367813
1238.5,0.367881
1243.5,0.368628
1248.5,0.365116
1253.5,0.36867
1258.5,0.370451
1263.5,0.372192
1268.5,0.368326
1273.5,0.371713
1278.5,0.372675
