Composition,
Date Added,2022-04-27 20:01:06.996488
Formula,
Grain Size,<45
Locality,
Minimum Wavelength,350.0
Sample Name,Montmorillonite
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,3. CLAYS: ASD spectra - Mars box remains
Resolution,17ms_swir1/2G:162_83
Material Class,
Sample Description,MON101-4A
Mars box
remains
surface
sample
run 4

1000 and 1830 breaks removed
Sample ID,MON101-4A
Original Sample ID,MON101-4A
Sample Type,None
Viewing Geometry,I=30/e=0
Wavelength,Response
350.0,0.246272282
351.0,0.251061597
352.0,0.254228426
353.0,0.256079268
354.0,0.257549586
355.0,0.25923895
356.0,0.260839182
357.0,0.262059973
358.0,0.265034844
359.0,0.267268491
360.0,0.268179631
361.0,0.26951451
362.0,0.271350005
363.0,0.273299348
364.0,0.273716839
365.0,0.274954987
366.0,0.276166198
367.0,0.276572637
368.0,0.278554143
369.0,0.280661569
370.0,0.282607068
371.0,0.284210303
372.0,0.285597676
373.0,0.287032708
374.0,0.289670571
375.0,0.292242637
376.0,0.294761187
377.0,0.297284993
378.0,0.29998358
379.0,0.302151909
380.0,0.303680006
381.0,0.305858035
382.0,0.309334755
383.0,0.313207464
384.0,0.314924817
385.0,0.316960649
386.0,0.319335621
387.0,0.322213162
388.0,0.324518703
389.0,0.326855115
390.0,0.329311892
391.0,0.331695243
392.0,0.333848826
393.0,0.336044093
394.0,0.339155456
395.0,0.342057112
396.0,0.344419411
397.0,0.345908738
398.0,0.348644143
399.0,0.350969624
400.0,0.352729741
401.0,0.354858549
402.0,0.356847443
403.0,0.358777055
404.0,0.3608837
405.0,0.362908571
406.0,0.364826531
407.0,0.366652086
408.0,0.368345445
409.0,0.369903514
410.0,0.371368216
411.0,0.37320233
412.0,0.374821722
413.0,0.376361051
414.0,0.378119757
415.0,0.379688397
416.0,0.381245504
417.0,0.382904057
418.0,0.384161846
419.0,0.385555194
420.0,0.387054342
421.0,0.3880496
422.0,0.38913471
423.0,0.390302796
424.0,0.391635242
425.0,0.392848104
