Composition,
Date Added,2022-04-27 20:01:07.024228
Formula,
Grain Size,<45
Locality,
Minimum Wavelength,350.0
Sample Name,Montmorillonite
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,3. CLAYS: ASD spectra - Mars box remains
Resolution,17ms_swir1/2G:162_83
Material Class,
Sample Description,MON101-4B
Mars box
remains
subsurface
sample
run 4

1000 and 1830 breaks removed
Sample ID,MON101-4B
Original Sample ID,MON101-4B
Sample Type,None
Viewing Geometry,I=30/e=0
Wavelength,Response
350.0,0.267639451
351.0,0.27119024
352.0,0.273960488
353.0,0.276182782
354.0,0.278754717
355.0,0.280369542
356.0,0.28163443
357.0,0.283049254
358.0,0.286741149
359.0,0.28946364
360.0,0.290456271
361.0,0.293101262
362.0,0.295357537
363.0,0.29702157
364.0,0.296915303
365.0,0.29762667
366.0,0.298898313
367.0,0.300777456
368.0,0.302354242
369.0,0.304285259
370.0,0.306750513
371.0,0.308284637
372.0,0.309419944
373.0,0.310648542
374.0,0.314107167
375.0,0.316771444
376.0,0.319164855
377.0,0.321685212
378.0,0.325036977
379.0,0.327946346
380.0,0.330200251
381.0,0.332823912
382.0,0.336285025
383.0,0.339927979
384.0,0.34184134
385.0,0.344614994
386.0,0.347422007
387.0,0.349696057
388.0,0.35272689
389.0,0.355571201
390.0,0.358118606
391.0,0.361483969
392.0,0.364030722
393.0,0.366136974
394.0,0.368619973
395.0,0.371951119
396.0,0.375017118
397.0,0.377110779
398.0,0.37942903
399.0,0.381669634
400.0,0.383805185
401.0,0.386184614
402.0,0.388439911
403.0,0.390602896
404.0,0.392788307
405.0,0.394829798
406.0,0.39669789
407.0,0.398388497
408.0,0.400722154
409.0,0.402653912
410.0,0.404157582
411.0,0.405953537
412.0,0.407746559
413.0,0.409560259
414.0,0.41155897
415.0,0.413236157
416.0,0.414834154
417.0,0.416479227
418.0,0.417599928
419.0,0.418979882
420.0,0.420601728
421.0,0.421930223
422.0,0.423135327
423.0,0.424287787
424.0,0.425506964
425.0,0.426839636
426.0,0.428059346
427.0,0.42908812
428.0,0.429982335
429.0,0.430843162
430.0,0.431674393
431.0,0.432518126
432.0,0.433354838
433.0,0.434191135
434.0,0.435046689
435.0,0.435757878
436.0,0.4363921
437.0,0.436969974
438.0,0.437808463
439.0,0.43844233
440.0,0.43889637
441.0,0.439425243
442.0,0.439992275
443.0,0.440558803
444.0,0.441065872
445.0,0.441750872
446.0,0.442532184
447.0,0.443402906
448.0,0.444565528
449.0,0.445893845
450.0,0.447388983
451.0,0.449117421
452.0,0.450890149
453.0,0.452685423
454.0,0.454490828
455.0,0.456506989
456.0,0.458459811
457.0,0.460280443
458.0,0.462134968
459.0,0.46386151
460.0,0.465476986
461.0,0.467047521
462.0,0.468505657
463.0,0.469930227
464.0,0.471397991
465.0,0.472601673
466.0,0.473744031
467.0,0.474867458
468.0,0.47600872
469.0,0.477046944
470.0,0.478019548
471.0,0.479102922
472.0,0.48000872
473.0,0.480890196
474.0,0.481888663
475.0,0.482765073
