Composition,
Date Added,2022-04-27 20:01:08.885050
Formula,
Grain Size,<45 µm
Locality,
Minimum Wavelength,2000.0
Sample Name,Montmorillonite
Maximum Wavelength,15965.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,22. Mars box runs - D&P spectra
Resolution,~3 cm-1
Material Class,
Sample Description,MON101
Montmorillonite
Sample ID,MON101_7
Original Sample ID,MON101
Sample Type,None
Viewing Geometry,I=30∞_ e=0∞
Wavelength,Response
1999.978,0.92201599
2001.1420000000003,0.92151402
2002.307,0.92086182
2003.4740000000002,0.92127551
2004.6430000000003,0.92180905
2005.8120000000001,0.92113416
2006.983,0.92114845
2008.155,0.92207089
2009.3290000000002,0.92242556
2010.5040000000001,0.92406625
2011.68,0.92574641
2012.858,0.92587921
2014.037,0.92537658
2015.2169999999999,0.92475978
2016.399,0.92561582
2017.5819999999999,0.92742464
2018.7659999999998,0.92739788
2019.952,0.92757758
2021.139,0.92879885
2022.328,0.92893743
2023.5180000000003,0.92888715
2024.709,0.92846508
2025.9019999999998,0.92877344
2027.0959999999998,0.92956653
2028.291,0.9287704
2029.4880000000003,0.92896315
2030.6860000000001,0.92962417
2031.886,0.92887719
2033.087,0.92982426
2034.2889999999998,0.9313086
2035.4930000000002,0.93133565
2036.6979999999999,0.93237871
2037.9049999999997,0.93362791
2039.113,0.93315247
2040.3220000000001,0.93262129
2041.533,0.93219659
2042.746,0.93142425
2043.959,0.93110605
2045.1739999999998,0.93112855
2046.3909999999998,0.93162416
2047.609,0.93130076
2048.828,0.93000025
2050.049,0.9302075
2051.2709999999997,0.93063808
2052.495,0.92994189
2053.7200000000003,0.93059594
2054.9469999999997,0.9318921
2056.175,0.93148601
2057.404,0.93051197
2058.635,0.92997904
2059.867,0.92981249
2061.1009999999997,0.92963995
2062.3360000000002,0.92957154
2063.573,0.93006026
2064.811,0.92981783
2066.051,0.92876539
2067.292,0.92901042
2068.534,0.92957173
2069.778,0.92922981
2071.024,0.92910824
2072.271,0.9286896
2073.5190000000002,0.92840603
2074.769,0.92791098
2076.02,0.92859991
2077.273,0.93011542
2078.528,0.92812298
2079.784,0.92573865
2081.0409999999997,0.92709224
2082.3,0.92928069
2083.56,0.9287022
2084.822,0.92694936
2086.085,0.92645802
2087.35,0.92633201
2088.617,0.92610807
2089.885,0.92526234
2091.154,0.92351713
2092.425,0.92308097
2093.697,0.92396036
2094.971,0.92441624
2096.247,0.92347419
2097.524,0.92290291
2098.8030000000003,0.92455344
2100.083,0.92620803
2101.3639999999996,0.9278201
2102.6479999999997,0.92958051
2103.932,0.93020891
2105.219,0.93162171
2106.506,0.93509908
2107.796,0.93772699
2109.087,0.93824388
2110.379,0.93927757
2111.6730000000002,0.9396634
2112.969,0.93968473
2114.266,0.94083505
2115.565,0.94087733
2116.8650000000002,0.94004786
2118.167,0.93932485
2119.471,0.93906292
2120.7760000000003,0.93926617
2122.082,0.93887779
2123.3909999999996,0.93774892
2124.7,0.93649027
2126.0119999999997,0.93548257
2127.325,0.9333192
2128.64,0.92922737
2129.956,0.92658544
2131.274,0.92732886
2132.593,0.92910861
2133.9139999999998,0.93006781
2135.237,0.92994565
2136.561,0.92939008
2137.887,0.92971226
2139.214,0.93105762
2140.544,0.93236624
2141.8740000000003,0.93171335
2143.207,0.92890718
2144.5409999999997,0.92699423
2145.8759999999997,0.92637232
2147.214,0.92555091
2148.5530000000003,0.92421503
2149.893,0.92157731
2151.2349999999997,0.91897499
2152.5789999999997,0.91746402
2153.925,0.91525415
2155.272,0.91236087
2156.621,0.9102717
2157.972,0.90797939
2159.3239999999996,0.90496955
2160.678,0.902645
2162.033,0.90058484
2163.3900000000003,0.89740218
2164.7490000000003,0.89395592
2166.11,0.89072388
2167.472,0.88679928
2168.8360000000002,0.88343962
2170.202,0.88124243
2171.569,0.87822276
2172.9379999999996,0.87377355
2174.309,0.8695527
2175.6820000000002,0.86666327
2177.056,0.86406314
2178.432,0.86048736
2179.809,0.85674335
2181.189,0.85416511
2182.57,0.85248917
2183.952,0.84990338
2185.337,0.84567921
2186.7230000000004,0.8416269
2188.1110000000003,0.84038369
2189.5009999999997,0.83988383
2190.892,0.83569474
2192.285,0.83061575
2193.6800000000003,0.82707176
2195.0769999999998,0.82347985
2196.476,0.82091412
2197.8759999999997,0.82016248
2199.2780000000002,0.8182983
2200.6820000000002,0.81381653
2202.087,0.8103645
2203.494,0.80903556
2204.903,0.8067191
2206.314,0.80421856
2207.7270000000003,0.80387454
2209.1409999999996,0.8044675
2210.5570000000002,0.80502367
2211.975,0.80563073
2213.395,0.80583818
2214.817,0.8055772
2216.24,0.80596147
2217.6650000000004,0.80789415
2219.0919999999996,0.80987458
2220.521,0.81036388
2221.9519999999998,0.81048635
2223.384,0.8121925
2224.8179999999998,0.81477738
2226.254,0.81628882
2227.692,0.81804281
2229.132,0.82041797
2230.5739999999996,0.82152711
2232.017,0.82235956
2233.462,0.82338806
2234.9100000000003,0.82354159
2236.3590000000004,0.82365889
2237.8089999999997,0.82525133
2239.262,0.82669671
2240.717,0.82698206
2242.1730000000002,0.82804617
2243.6310000000003,0.8302684
2245.092,0.83331954
2246.554,0.8351913
2248.017,0.83515091
2249.483,0.83576265
2250.951,0.83765473
2252.421,0.83913975
2253.892,0.84011965
2255.365,0.84187868
2256.841,0.84454696
2258.318,0.84720532
2259.797,0.84940054
2261.278,0.85222746
2262.761,0.85529289
2264.246,0.85720233
2265.732,0.85883568
2267.221,0.8607051
2268.712,0.86287561
2270.204,0.86474702
2271.699,0.86582873
2273.1949999999997,0.86669949
2274.6940000000004,0.86671944
2276.194,0.86749405
2277.6960000000004,0.86819002
2279.201,0.86701018
2280.707,0.86720361
2282.2149999999997,0.86862452
2283.725,0.86866137
2285.237,0.86706968
2286.752,0.86546536
2288.268,0.86446163
2289.786,0.86316876
2291.306,0.86196772
2292.828,0.86082925
2294.352,0.86010825
2295.878,0.86011514
2297.406,0.8593652
2298.9359999999997,0.85787995
2300.468,0.85724341
2302.002,0.85667905
2303.5389999999998,0.85501168
2305.0769999999998,0.85365846
2306.617,0.853227
2308.1589999999997,0.85215527
2309.703,0.85105104
2311.25,0.85060294
2312.798,0.84887353
2314.348,0.84673161
2315.9010000000003,0.84509379
2317.455,0.84242973
2319.0119999999997,0.83990671
2320.5710000000004,0.83843034
2322.1310000000003,0.83606526
2323.694,0.83320337
2325.259,0.83148562
2326.826,0.82944497
2328.395,0.8267219
2329.9660000000003,0.82416658
2331.54,0.82150477
2333.115,0.81887929
2334.692,0.81490096
2336.272,0.81091539
2337.8540000000003,0.80925707
2339.4370000000004,0.80772769
2341.0229999999997,0.80605971
2342.6110000000003,0.8042999
2344.201,0.80171061
2345.7940000000003,0.80041494
2347.388,0.8004006
2348.9849999999997,0.80043124
2350.583,0.79993407
2352.1839999999997,0.79893321
2353.7870000000003,0.79856745
2355.393,0.79851564
2357.0,0.79843588
2358.609,0.79866799
2360.221,0.79848383
2361.835,0.79774327
2363.451,0.79756585
2365.069,0.79742976
2366.69,0.79622674
2368.312,0.79489357
2369.9370000000004,0.79455257
2371.564,0.79478646
2373.194,0.79421751
2374.825,0.79338941
2376.4590000000003,0.79334984
2378.0950000000003,0.79329453
2379.7329999999997,0.79305067
2381.373,0.79281387
2383.016,0.79312702
2384.661,0.79369166
2386.308,0.79374893
2387.9570000000003,0.79412253
2389.609,0.79440511
2391.263,0.79401295
2392.919,0.79404078
2394.5769999999998,0.79508221
2396.238,0.79583096
2397.901,0.79444094
2399.5660000000003,0.79229548
2401.233,0.79173193
2402.903,0.79175581
2404.575,0.79167278
2406.25,0.79125778
2407.926,0.78970322
2409.606,0.78841725
2411.2870000000003,0.78816676
2412.971,0.78691392
2414.657,0.78430083
2416.3450000000003,0.78264725
2418.036,0.78129319
2419.729,0.77901651
2421.424,0.77742301
2423.1220000000003,0.77598243
2424.8219999999997,0.7740625
2426.5240000000003,0.77243267
2428.229,0.7699618
2429.936,0.76705344
2431.646,0.76524336
2433.358,0.76414587
2435.072,0.76293397
2436.789,0.76086699
2438.5080000000003,0.7589605
2440.229,0.75887957
2441.953,0.7592647
2443.679,0.75910149
2445.408,0.75877667
2447.139,0.75817918
2448.873,0.75771147
2450.609,0.75773656
2452.347,0.75853546
2454.088,0.75904899
2455.8309999999997,0.75804296
2457.577,0.75729913
2459.3250000000003,0.75810178
2461.076,0.75851708
2462.829,0.75862901
2464.585,0.75923429
2466.3430000000003,0.75895051
2468.104,0.75809705
2469.8669999999997,0.7576883
2471.632,0.75802957
2473.3999999999996,0.75859915
2475.171,0.75798111
2476.944,0.75707079
2478.7200000000003,0.7575788
2480.498,0.75788588
2482.278,0.75761044
2484.0620000000004,0.75795729
2485.847,0.75785413
2487.636,0.75732775
2489.427,0.75671693
2491.2200000000003,0.75603109
2493.016,0.75548689
2494.814,0.75526166
2496.615,0.75591769
2498.4190000000003,0.75656844
2500.225,0.75636673
2502.034,0.75589232
2503.8450000000003,0.75570795
2505.659,0.75591328
2507.476,0.75600364
2509.2949999999996,0.75537499
2511.117,0.75514383
2512.942,0.75625272
2514.769,0.75716782
2516.598,0.75698105
2518.431,0.75665866
2520.266,0.7564829
2522.103,0.75632758
2523.9440000000004,0.75628311
2525.787,0.75580914
2527.632,0.75525722
2529.48,0.75599737
2531.331,0.75717487
2533.185,0.75723373
2535.041,0.7563779
2536.9,0.75476363
2538.762,0.75378884
2540.6270000000004,0.75490779
2542.494,0.75570587
2544.364,0.75443444
2546.236,0.75387582
2548.112,0.75343731
2549.9900000000002,0.75343835
2551.87,0.75341181
2553.754,0.75063014
2555.64,0.74747832
2557.529,0.74676159
2559.421,0.74954083
2561.3160000000003,0.75322561
2563.213,0.75229087
2565.1130000000003,0.74717988
2567.016,0.74445709
2568.922,0.74372789
2570.831,0.74226449
2572.7419999999997,0.74155688
2574.656,0.74122537
2576.573,0.73901368
2578.493,0.73574776
2580.416,0.7359305
2582.342,0.73796246
2584.27,0.73627402
2586.201,0.7332138
2588.1349999999998,0.72990718
2590.072,0.72642069
2592.012,0.72871793
2593.955,0.73644589
2595.9,0.7311785
2597.849,0.72048551
2599.8,0.71825417
2601.7549999999997,0.72080832
2603.712,0.72388496
2605.672,0.72332528
2607.635,0.71877857
2609.601,0.71381623
2611.57,0.71027007
2613.542,0.71074332
2615.5170000000003,0.714678
2617.495,0.71626441
2619.475,0.71334493
2621.4590000000003,0.70692763
2623.446,0.70279992
2625.435,0.70350808
2627.428,0.70537801
2629.424,0.70678496
2631.423,0.70375492
2633.4240000000004,0.69773375
2635.4289999999996,0.693061
2637.437,0.69005772
2639.447,0.68863077
2641.4610000000002,0.68706217
2643.478,0.68551965
2645.498,0.68377831
2647.5209999999997,0.67985524
2649.547,0.67662371
2651.576,0.67572143
2653.609,0.6731702
2655.6440000000002,0.66753003
2657.682,0.66352067
2659.724,0.66074972
2661.768,0.65622626
2663.8160000000003,0.65636839
2665.867,0.65668209
2667.9210000000003,0.64877743
2669.978,0.63947321
2672.038,0.6208534
2674.102,0.60690363
2676.168,0.60220485
2678.238,0.58689411
2680.311,0.56004948
2682.3869999999997,0.53914284
2684.467,0.5187545
2686.549,0.49071185
2688.635,0.45596771
2690.7239999999997,0.42327801
2692.8160000000003,0.39843257
2694.911,0.36664464
2697.01,0.32642931
2699.112,0.29821912
2701.217,0.27717294
2703.325,0.2560555
2705.437,0.2405558
2707.552,0.23572836
2709.67,0.23722249
