Composition,
Date Added,2022-04-27 20:01:08.910301
Formula,
Grain Size,<45 µm
Locality,
Minimum Wavelength,350.0
Sample Name,Montmorillonite
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,22. Mars Box Runs
Resolution,2-7 nm
Material Class,
Sample Description,MON101
Montmorillonite
Sample ID,MON101_7_f1
Original Sample ID,MON101
Sample Type,None
Viewing Geometry,0°/0° (bifurc)
Wavelength,Response
350.0,0.766281839
351.0,0.76507442
352.0,0.76494415
353.0,0.765173327
354.0,0.765456183
355.0,0.764410038
356.0,0.764019229
357.0,0.764402838
358.0,0.764105461
359.0,0.764454017
360.0,0.765099355
361.0,0.765442733
362.0,0.765654295
363.0,0.765523549
364.0,0.764810607
365.0,0.764309822
366.0,0.763200358
367.0,0.761466742
368.0,0.761792981
369.0,0.761664795
370.0,0.761487333
371.0,0.762382914
372.0,0.76170312
373.0,0.761438712
374.0,0.762951721
375.0,0.763284744
376.0,0.763680195
377.0,0.764313273
378.0,0.765170827
379.0,0.766720852
380.0,0.768517311
381.0,0.769572084
382.0,0.770333409
383.0,0.770969344
384.0,0.771526665
385.0,0.77266035
386.0,0.774051479
387.0,0.775575497
388.0,0.776156325
389.0,0.777567034
390.0,0.779372717
391.0,0.780762657
392.0,0.782135398
393.0,0.783335021
394.0,0.784226258
395.0,0.786376511
396.0,0.787849706
397.0,0.788413038
398.0,0.789787921
399.0,0.79093083
400.0,0.791965905
401.0,0.793256104
402.0,0.794224765
403.0,0.795193188
404.0,0.796426971
405.0,0.797523462
406.0,0.79863364
407.0,0.799781548
408.0,0.800351188
409.0,0.800875004
410.0,0.801484754
411.0,0.802692173
412.0,0.803576864
413.0,0.804319502
414.0,0.805023339
415.0,0.805638147
416.0,0.806139349
417.0,0.80654206
418.0,0.807087419
419.0,0.80761433
420.0,0.808111188
421.0,0.808547939
422.0,0.808932797
423.0,0.809312299
424.0,0.809715605
425.0,0.809915145
426.0,0.810209487
427.0,0.810656296
428.0,0.810715628
429.0,0.810943258
430.0,0.81124361
431.0,0.811443984
432.0,0.811591749
433.0,0.811737611
434.0,0.811899302
435.0,0.811986486
436.0,0.812070575
437.0,0.812170613
438.0,0.812197334
439.0,0.812257261
440.0,0.812331769
441.0,0.812447578
442.0,0.812557256
443.0,0.812650927
444.0,0.812689609
445.0,0.812874391
446.0,0.813122195
447.0,0.813420226
448.0,0.813552519
449.0,0.813880603
450.0,0.814358536
451.0,0.81485093
452.0,0.815324222
453.0,0.815831434
454.0,0.816415535
455.0,0.816987495
456.0,0.817527558
457.0,0.818036675
458.0,0.81839749
459.0,0.818812103
460.0,0.819270695
461.0,0.819797665
462.0,0.820194247
463.0,0.820511203
464.0,0.820760554
465.0,0.821101374
466.0,0.821443502
467.0,0.821769087
468.0,0.822135378
469.0,0.822553443
470.0,0.822971389
471.0,0.823250555
472.0,0.823539124
473.0,0.823808114
474.0,0.824044551
475.0,0.824309851
476.0,0.824530339
477.0,0.824681557
478.0,0.824878896
479.0,0.825118665
480.0,0.825389976
481.0,0.82572663
482.0,0.825924028
483.0,0.826101788
484.0,0.826333762
485.0,0.826461294
486.0,0.826528244
487.0,0.826534373
488.0,0.826759027
489.0,0.826946071
490.0,0.8271299
491.0,0.82736604
492.0,0.827634792
493.0,0.827882953
494.0,0.828051726
495.0,0.828203182
496.0,0.828330952
497.0,0.828425336
498.0,0.828532337
499.0,0.828782224
500.0,0.829121794
501.0,0.829251766
502.0,0.829432739
503.0,0.829620199
504.0,0.82980748
505.0,0.830044274
506.0,0.830250539
507.0,0.830397889
508.0,0.83057416
