Composition,
Date Added,2022-04-27 20:01:10.441751
Formula,
Grain Size,<45
Locality,
Minimum Wavelength,350.0
Sample Name,Montmorillonite
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,180717a00010.asd
22. Cube vacuum chamber runs
Resolution,3@700 nm; 6@1400/2100nm
Material Class,
Sample Description,Ca-rich: Apache Co._ AZ_ USA. [(ΩCa_Na)0.7(Al_Mg_Fe)4((Si_Al)8O20)(OH)4ïnH2O). Clay Minerals Society Source Clays Repository #SAz-2 
dry-sieved
Sample ID,MON104
Original Sample ID,MON104
Sample Type,None
Viewing Geometry,I=30∞_ e=0∞
Wavelength,Response
350.0,0.513048272
351.0,0.515439603
352.0,0.516729549
353.0,0.517267445
354.0,0.517922038
355.0,0.518919807
356.0,0.520574553
357.0,0.521929933
358.0,0.522346251
359.0,0.523483193
360.0,0.525333248
361.0,0.527273507
362.0,0.528456386
363.0,0.529003375
364.0,0.530179567
365.0,0.532101101
366.0,0.533424034
367.0,0.534727181
368.0,0.535849482
369.0,0.536664767
370.0,0.537428426
371.0,0.538202335
372.0,0.53879745
373.0,0.539043917
374.0,0.539321068
375.0,0.540356152
376.0,0.541808258
377.0,0.542539771
378.0,0.54420871
379.0,0.54639661
380.0,0.548648163
381.0,0.551007761
382.0,0.553254558
383.0,0.555753003
384.0,0.558723843
385.0,0.5611398
386.0,0.5637263
387.0,0.566468161
388.0,0.56895843
389.0,0.571395583
390.0,0.573231642
391.0,0.574599277
392.0,0.576480125
393.0,0.577972201
394.0,0.579470583
395.0,0.581255196
396.0,0.582650554
397.0,0.583802875
398.0,0.584823054
399.0,0.58583109
400.0,0.587149873
401.0,0.588629946
402.0,0.590083323
403.0,0.591331503
404.0,0.592403902
405.0,0.593282834
406.0,0.594033311
407.0,0.594865102
408.0,0.595764745
409.0,0.596706695
410.0,0.597630643
411.0,0.598317883
412.0,0.599014361
413.0,0.599896566
414.0,0.600967494
415.0,0.601097895
416.0,0.601285648
417.0,0.602103173
418.0,0.60289311
419.0,0.603855483
420.0,0.60482697
421.0,0.605627123
422.0,0.606310875
423.0,0.606860902
424.0,0.607400405
425.0,0.608142918
426.0,0.608984734
427.0,0.609694942
428.0,0.610256431
429.0,0.611003536
430.0,0.611965528
431.0,0.612917518
432.0,0.613617952
433.0,0.614096444
434.0,0.614718103
435.0,0.615577592
436.0,0.616532127
437.0,0.617428105
438.0,0.618318768
439.0,0.619300302
440.0,0.620490014
441.0,0.621531376
442.0,0.622528313
443.0,0.623669368
444.0,0.624924328
445.0,0.626243222
446.0,0.627562106
447.0,0.628828846
448.0,0.630195451
449.0,0.631378758
450.0,0.632359809
451.0,0.633692448
452.0,0.635063871
453.0,0.636425523
454.0,0.63776978
455.0,0.639051835
456.0,0.6402556
457.0,0.641396682
458.0,0.642530609
459.0,0.643616158
460.0,0.644682305
461.0,0.645756725
462.0,0.646817497
463.0,0.647800406
464.0,0.64881446
465.0,0.649969336
466.0,0.65103408
467.0,0.652051352
