Composition,
Date Added,2022-04-27 20:01:10.468374
Formula,
Grain Size,<45 um
Locality,
Minimum Wavelength,350.0
Sample Name,Montmorillonite
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,3. CLAYS: ASD SPECTRA
Resolution,2@350-7@2500nm
Material Class,
Sample Description,Montmorillonite  Ca-rich





1000 and 1830 breaks removed
Sample ID,MON104_f1
Original Sample ID,MON104
Sample Type,None
Viewing Geometry,I30_ e0
Wavelength,Response
350.0,0.092097585
351.0,0.094007489
352.0,0.093869602
353.0,0.092529676
354.0,0.093050667
355.0,0.092172697
356.0,0.091875777
357.0,0.094456962
358.0,0.09679521
359.0,0.097191074
360.0,0.0951885
361.0,0.097601376
362.0,0.096406777
363.0,0.09346575
364.0,0.096426384
365.0,0.097565903
366.0,0.097585481
367.0,0.096659387
368.0,0.096166694
369.0,0.095569823
370.0,0.094738368
371.0,0.093996873
372.0,0.094796209
373.0,0.096542029
374.0,0.097557681
375.0,0.098761498
376.0,0.100102998
377.0,0.101634654
378.0,0.10280977
379.0,0.103869227
380.0,0.104891571
381.0,0.108666236
382.0,0.110340897
383.0,0.111074075
384.0,0.113909407
385.0,0.11669417
386.0,0.119256209
387.0,0.121446048
388.0,0.124493179
389.0,0.127192242
390.0,0.129415738
391.0,0.132660875
392.0,0.136317999
393.0,0.139981258
394.0,0.142631324
395.0,0.147175547
396.0,0.151872308
397.0,0.155800902
398.0,0.159703796
399.0,0.163747485
400.0,0.167983908
401.0,0.173562995
402.0,0.177695392
403.0,0.181323991
404.0,0.186322577
405.0,0.190727148
406.0,0.195139713
407.0,0.199977108
408.0,0.204639603
409.0,0.208773465
410.0,0.212507143
411.0,0.217603048
412.0,0.221920946
413.0,0.225694805
414.0,0.229189506
415.0,0.232454792
416.0,0.235560365
417.0,0.238562966
418.0,0.240779814
419.0,0.243166479
420.0,0.245697292
421.0,0.247556304
422.0,0.248758979
423.0,0.249595867
424.0,0.25033362
425.0,0.250904383
426.0,0.251083586
427.0,0.250724564
428.0,0.250713319
429.0,0.250366831
430.0,0.249690111
431.0,0.248907608
432.0,0.247968276
433.0,0.24701887
434.0,0.246232384
435.0,0.245298236
436.0,0.244409936
437.0,0.243633919
438.0,0.242480709
439.0,0.241210192
440.0,0.239804826
441.0,0.238012778
442.0,0.236247057
443.0,0.234431594
444.0,0.232393261
445.0,0.230605488
446.0,0.229034039
447.0,0.227684991
448.0,0.227538822
449.0,0.22790972
450.0,0.228861645
451.0,0.231130915
452.0,0.234411079
453.0,0.238544516
454.0,0.243792783
455.0,0.250183996
456.0,0.257364492
457.0,0.265379826
458.0,0.274213743
459.0,0.283268216
460.0,0.292470322
461.0,0.30167483
462.0,0.310614559
463.0,0.319175908
464.0,0.327143124
465.0,0.334499338
466.0,0.341348898
467.0,0.347688464
468.0,0.353183235
469.0,0.358347509
470.0,0.363161899
471.0,0.367453263
472.0,0.371440634
473.0,0.375190288
474.0,0.378704245
475.0,0.381900063
476.0,0.384963596
477.0,0.387914522
478.0,0.390592264
479.0,0.393259258
480.0,0.395861618
481.0,0.398243187
482.0,0.400642533
483.0,0.402990599
484.0,0.405222017
485.0,0.407547854
486.0,0.409730188
487.0,0.411740289
488.0,0.413874564
489.0,0.415936589
490.0,0.417976298
491.0,0.42012138
492.0,0.422152098
493.0,0.424134611
494.0,0.4261173
495.0,0.428105728
496.0,0.430091756
497.0,0.43207749
498.0,0.434159928
499.0,0.43628694
500.0,0.438401242
