Composition,
Date Added,2022-04-27 20:01:21.237119
Formula,
Grain Size,<45 µm
Locality,
Minimum Wavelength,2000.0
Sample Name,Montmorillonite
Maximum Wavelength,15965.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,D&P 102F Reflectance spectra
Resolution,~1.5 cm-1
Material Class,
Sample Description,
Sample ID,Mon101m
Original Sample ID,Mon101m
Sample Type,None
Viewing Geometry,I=30°_ e=0°?
Wavelength,Response
1999.978,1.02916379
2000.56,1.02990049
2001.142,1.03068032
2001.725,1.03142566
2002.307,1.03211669
2002.891,1.03273672
2003.474,1.03324866
2004.058,1.03361324
2004.643,1.03383403
2005.227,1.03397773
2005.812,1.03415703
2006.397,1.03447161
2006.983,1.03492758
2007.569,1.03542257
2008.155,1.03583759
2008.742,1.03615871
2009.329,1.03648364
2009.916,1.03687985
2010.504,1.03728663
2011.092,1.03757071
2011.68,1.03769556
2012.269,1.03777781
2012.858,1.03799298
2013.447,1.03842982
2014.037,1.03904047
2014.627,1.03968258
2015.217,1.04021542
2015.808,1.04059797
2016.399,1.04092695
2016.99,1.04134425
2017.582,1.04187853
2018.174,1.04235231
2018.766,1.04250142
2019.359,1.0422301
2019.952,1.04177931
2020.546,1.04158875
2021.139,1.04198485
2021.733,1.04293853
2022.328,1.04410359
2022.923,1.0450708
2023.518,1.04561178
2024.113,1.04572363
2024.709,1.04551106
2025.305,1.04508443
2025.902,1.04459978
2026.499,1.0443337
2027.096,1.04455869
2027.693,1.0452835
2028.291,1.04614515
2028.89,1.04664535
2029.488,1.04658854
2030.087,1.04629071
2030.686,1.04630326
2031.286,1.0468747
2031.886,1.04768866
2032.486,1.04814765
2033.087,1.04794917
2033.688,1.04739427
2034.289,1.04712664
2034.891,1.04754133
2035.493,1.04846506
2036.096,1.04937294
2036.698,1.0498359
2037.302,1.04980549
2037.905,1.04952728
2038.509,1.04927118
2039.113,1.04916053
2039.718,1.04920109
2040.322,1.04935506
2040.928,1.04956284
2041.533,1.04972683
2042.139,1.04974928
2042.746,1.04960913
2043.352,1.04939112
2043.959,1.04922126
2044.567,1.04917462
2045.174,1.04924752
2045.782,1.04939904
2046.391,1.04958155
2047.0,1.04971156
2047.609,1.04967608
2048.218,1.04944445
2048.828,1.04918648
2049.438,1.04918942
2050.049,1.04957893
2050.66,1.05012948
2051.271,1.05043008
2051.883,1.05029052
