Composition,
Date Added,2022-04-27 20:01:21.264964
Formula,
Grain Size,Whole rock
Locality,
Minimum Wavelength,2000.0
Sample Name,Montmorillonite
Maximum Wavelength,15965.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,D&P 102F Reflectance spectra
Resolution,~1.5 cm-1
Material Class,
Sample Description,
Sample ID,Mon101n
Original Sample ID,Mon101n
Sample Type,None
Viewing Geometry,I=30°_ e=0°?
Wavelength,Response
1999.978,0.68606148
2000.56,0.68894058
2001.142,0.69163201
2001.725,0.69431673
2002.307,0.69716478
2002.891,0.70014066
2003.474,0.70306352
2004.058,0.70582767
2004.643,0.70848985
2005.227,0.71113511
2005.812,0.71375342
2006.397,0.71634217
2006.983,0.71907104
2007.569,0.72220354
2008.155,0.72581615
2008.742,0.72964558
2009.329,0.73326291
2009.916,0.7364162
2010.504,0.73920482
2011.092,0.74193593
2011.68,0.7448354
2012.269,0.74789681
2012.858,0.75096081
2013.447,0.75389688
2014.037,0.75671576
2014.627,0.75953687
2015.217,0.76244916
2015.808,0.76541135
2016.399,0.76832804
2016.99,0.77121567
2017.582,0.77425512
2018.174,0.77767266
2018.766,0.78152868
2019.359,0.78561405
2019.952,0.78954901
2020.546,0.79300352
2021.139,0.7959002
2021.733,0.79847876
2022.328,0.80110335
2022.923,0.80395998
2023.518,0.80701402
2024.113,0.81017647
2024.709,0.81341558
2025.305,0.81667601
2025.902,0.81973844
2026.499,0.82226903
2027.096,0.82417113
2027.693,0.82579849
2028.291,0.82769278
2028.89,0.83014696
2029.488,0.83312381
2030.087,0.83656028
2030.686,0.84052758
2031.286,0.84494056
2031.886,0.84926673
2032.486,0.85282815
2033.087,0.85545631
2033.688,0.85773701
2034.289,0.86050366
2034.891,0.86406812
2035.493,0.86799501
2036.096,0.87162736
2036.698,0.87474571
2037.302,0.87767753
2037.905,0.88082167
2038.509,0.88418894
2039.113,0.88745672
2039.718,0.89038372
2040.322,0.89305929
2040.928,0.89576472
2041.533,0.89870706
2042.139,0.9019041
2042.746,0.90528533
2043.352,0.90880672
2043.959,0.91240513
2044.567,0.91595018
2045.174,0.91934545
2045.782,0.92259097
2046.391,0.92566912
2047.0,0.92847742
2047.609,0.93097265
2048.218,0.93338583
2048.828,0.93615593
2049.438,0.93956654
2050.049,0.94347275
2050.66,0.94749237
2051.271,0.95143236
2051.883,0.95538063
2052.495,0.95936858
2053.107,0.96314118
2053.72,0.96640895
2054.333,0.96921913
2054.947,0.97195399
2055.56,0.97496395
2056.175,0.97825778
2056.789,0.98159797
