Composition,
Date Added,2022-04-27 20:03:27.685469
Formula,
Grain Size,<45 µm
Locality,
Minimum Wavelength,350.0
Sample Name,Saponite
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,22. Mars Box Runs
Resolution,2-7 nm
Material Class,
Sample Description,SAP101
Saponite
Sample ID,SAP101_27
Original Sample ID,SAP101
Sample Type,None
Viewing Geometry,0°/0° (bifurc)
Wavelength,Response
350.0,0.732653695
351.0,0.732916408
352.0,0.730306148
353.0,0.728265428
354.0,0.728673152
355.0,0.729189994
356.0,0.72798837
357.0,0.725187243
358.0,0.725966618
359.0,0.727154677
360.0,0.72812912
361.0,0.727280841
362.0,0.726024538
363.0,0.724886957
364.0,0.724199835
365.0,0.723153906
366.0,0.721984094
367.0,0.720743156
368.0,0.720025963
369.0,0.71871066
370.0,0.717517499
371.0,0.718605923
372.0,0.71783285
373.0,0.716767354
374.0,0.716234607
375.0,0.716119846
376.0,0.716230525
377.0,0.716525349
378.0,0.716338143
379.0,0.716879714
380.0,0.717705605
381.0,0.717808181
382.0,0.717706866
383.0,0.717695222
384.0,0.717982363
385.0,0.717921201
386.0,0.718453829
387.0,0.71959105
388.0,0.71905158
389.0,0.71930805
390.0,0.720042889
391.0,0.720750059
392.0,0.721394926
393.0,0.721779482
394.0,0.721680447
395.0,0.722247647
396.0,0.722997311
397.0,0.723832085
398.0,0.724232366
399.0,0.72427102
400.0,0.724346346
401.0,0.725634641
402.0,0.72571903
403.0,0.725617355
404.0,0.725942069
405.0,0.726621208
406.0,0.727104739
407.0,0.727339001
408.0,0.727378135
409.0,0.727578006
410.0,0.727870489
411.0,0.728142925
412.0,0.72832791
413.0,0.728351078
414.0,0.728095868
415.0,0.728359841
416.0,0.728540205
417.0,0.728563733
418.0,0.728569795
419.0,0.728538284
420.0,0.728493208
421.0,0.728503352
422.0,0.728558271
423.0,0.728579339
424.0,0.728481804
425.0,0.72827179
426.0,0.728163872
427.0,0.728201265
428.0,0.728107392
429.0,0.728046351
430.0,0.727966643
431.0,0.727745465
432.0,0.727649431
433.0,0.727613958
434.0,0.727592291
435.0,0.727555738
436.0,0.72753245
437.0,0.72753461
438.0,0.72761942
439.0,0.72761744
440.0,0.727539292
441.0,0.727444039
442.0,0.727320275
443.0,0.72722124
444.0,0.727177365
445.0,0.727258393
446.0,0.727295066
447.0,0.727258633
448.0,0.727554237
449.0,0.727810768
450.0,0.728053793
451.0,0.728323168
452.0,0.728524299
453.0,0.728741396
454.0,0.72903658
455.0,0.729289929
456.0,0.72946159
457.0,0.72954646
458.0,0.729856649
459.0,0.730026149
460.0,0.730099015
461.0,0.730216836
462.0,0.730194988
463.0,0.730149612
464.0,0.730174641
465.0,0.730327935
466.0,0.730518022
467.0,0.730729417
468.0,0.731028382
469.0,0.731357238
470.0,0.731668748
471.0,0.731823122
472.0,0.732039799
473.0,0.732280904
474.0,0.732543256
475.0,0.732718578
476.0,0.732855186
477.0,0.732954821
478.0,0.73303471
479.0,0.733095211
480.0,0.73314995
481.0,0.733307686
482.0,0.733356603
483.0,0.733388534
484.0,0.733452937
485.0,0.733564756
486.0,0.733677296
487.0,0.73377453
488.0,0.73383137
489.0,0.733902135
490.0,0.734003811
491.0,0.734146601
492.0,0.734305478
493.0,0.734469095
494.0,0.734630972
495.0,0.734792249
496.0,0.734939121
497.0,0.735061984
498.0,0.735292165
499.0,0.735506981
500.0,0.735718015
501.0,0.735882774
502.0,0.736052453
503.0,0.736232397
504.0,0.736462938
505.0,0.736649244
506.0,0.736826246
507.0,0.736994365
508.0,0.736959493
509.0,0.736987463
510.0,0.737049885
511.0,0.737078335
512.0,0.737146099
513.0,0.737256778
514.0,0.73740455
515.0,0.737503165
516.0,0.737620386
517.0,0.737756214
518.0,0.737888741
519.0,0.738124204
520.0,0.738437634
521.0,0.738768231
522.0,0.738982086
523.0,0.739152186
524.0,0.739329429
525.0,0.739399894
526.0,0.739510032
527.0,0.739690336
528.0,0.739960791
529.0,0.740288987
530.0,0.740652055
531.0,0.740967226
532.0,0.741293741
533.0,0.741609212
534.0,0.741889631
