Composition,
Date Added,2022-04-27 20:03:28.475516
Formula,
Grain Size,<45 µm
Locality,
Minimum Wavelength,2000.0
Sample Name,Saponite
Maximum Wavelength,15965.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,22. Mars box runs - D&P spectra
Resolution,~3 cm-1
Material Class,
Sample Description,SAP101
Saponite
Sample ID,SAP101_5_f1
Original Sample ID,SAP101
Sample Type,None
Viewing Geometry,I=30∞_ e=0∞
Wavelength,Response
1999.978,0.36703564
2001.1420000000003,0.36671953
2002.307,0.36685229
2003.4740000000002,0.36709456
2004.6430000000003,0.36723071
2005.8120000000001,0.36755959
2006.983,0.36758927
2008.155,0.36757156
2009.3290000000002,0.36786176
2010.5040000000001,0.36818702
2011.68,0.36825045
2012.858,0.36812027
2014.037,0.36794965
2015.2169999999999,0.36792521
2016.399,0.36818328
2017.5819999999999,0.36820747
2018.7659999999998,0.3679412
2019.952,0.36822786
2021.139,0.36880531
2022.328,0.36895778
2023.5180000000003,0.36878045
2024.709,0.36874702
2025.9019999999998,0.36947053
2027.0959999999998,0.37018338
2028.291,0.36950485
2029.4880000000003,0.36860768
2030.6860000000001,0.36870014
2031.886,0.3690703
2033.087,0.36978642
2034.2889999999998,0.37041127
2035.4930000000002,0.37056998
2036.6979999999999,0.37063021
2037.9049999999997,0.37023142
2039.113,0.36983137
2040.3220000000001,0.37030366
2041.533,0.37104406
2042.746,0.37099174
2043.959,0.37043567
2045.1739999999998,0.36984668
2046.3909999999998,0.36985761
2047.609,0.37062169
2048.828,0.37073416
2050.049,0.37059224
2051.2709999999997,0.37094615
2052.495,0.37070458
2053.7200000000003,0.36990268
2054.9469999999997,0.36979822
2056.175,0.3702853
2057.404,0.37002531
2058.635,0.36973837
2059.867,0.37005009
2061.1009999999997,0.37008726
2062.3360000000002,0.37004895
2063.573,0.37032712
2064.811,0.37120925
2066.051,0.37144967
2067.292,0.37100193
2068.534,0.37124464
2069.778,0.3712714
2071.024,0.37115781
2072.271,0.37113257
2073.5190000000002,0.37076126
2074.769,0.37081986
2076.02,0.37117367
2077.273,0.37127574
2078.528,0.37122142
2079.784,0.37121007
2081.0409999999997,0.37123253
2082.3,0.3708154
2083.56,0.37067345
2084.822,0.37086128
2086.085,0.37054112
2087.35,0.37062279
2088.617,0.37098095
2089.885,0.37101065
2091.154,0.37117336
2092.425,0.37108584
2093.697,0.37090202
2094.971,0.37105182
2096.247,0.3711502
2097.524,0.37098296
2098.8030000000003,0.37072081
2100.083,0.370693
2101.3639999999996,0.37076086
2102.6479999999997,0.37081703
2103.932,0.37136488
2105.219,0.37180473
2106.506,0.3718311
2107.796,0.37221708
2109.087,0.3723386
2110.379,0.3721369
2111.6730000000002,0.37191084
2112.969,0.37151159
2114.266,0.371358
2115.565,0.37168474
2116.8650000000002,0.37222174
2118.167,0.37233934
2119.471,0.37198881
2120.7760000000003,0.37184366
2122.082,0.37214158
2123.3909999999996,0.37219957
2124.7,0.37226089
2126.0119999999997,0.37254754
2127.325,0.37215374
2128.64,0.37098862
2129.956,0.36996196
2131.274,0.36940131
2132.593,0.36929514
2133.9139999999998,0.36954881
2135.237,0.36966339
2136.561,0.36972282
2137.887,0.37025398
2139.214,0.37140889
2140.544,0.37243753
2141.8740000000003,0.37286474
2143.207,0.37298568
2144.5409999999997,0.37293808
2145.8759999999997,0.37284306
2147.214,0.37285395
2148.5530000000003,0.37287665
2149.893,0.37258784
2151.2349999999997,0.37234751
2152.5789999999997,0.37276765
2153.925,0.37287654
2155.272,0.37204797
2156.621,0.37140574
2157.972,0.37124338
2159.3239999999996,0.3707954
2160.678,0.37032462
2162.033,0.37018979
2163.3900000000003,0.37018773
2164.7490000000003,0.3700181
2166.11,0.36915157
2167.472,0.36818424
2168.8360000000002,0.36794882
2170.202,0.36779899
2171.569,0.36674031
2172.9379999999996,0.36542968
2174.309,0.36492472
2175.6820000000002,0.36470035
2177.056,0.36409564
2178.432,0.36346749
2179.809,0.36300152
2181.189,0.36242033
2182.57,0.36199704
2183.952,0.36131274
2185.337,0.36001642
2186.7230000000004,0.35912025
2188.1110000000003,0.35871883
2189.5009999999997,0.3587784
2190.892,0.35884293
2192.285,0.35813186
2193.6800000000003,0.35676631
2195.0769999999998,0.35531655
2196.476,0.35475112
2197.8759999999997,0.35448931
2199.2780000000002,0.35370549
2200.6820000000002,0.35287925
2202.087,0.35242839
2203.494,0.35225748
2204.903,0.35197809
2206.314,0.35151811
2207.7270000000003,0.35124254
2209.1409999999996,0.35120281
2210.5570000000002,0.35130539
2211.975,0.35148666
2213.395,0.35149615
2214.817,0.35153153
2216.24,0.35204471
2217.6650000000004,0.35305751
2219.0919999999996,0.35381416
2220.521,0.35415974
2221.9519999999998,0.35460261
2223.384,0.35487722
2224.8179999999998,0.35539013
2226.254,0.35621505
2227.692,0.35688061
2229.132,0.35757557
2230.5739999999996,0.35808017
2232.017,0.35850424
2233.462,0.35908663
2234.9100000000003,0.35946936
2236.3590000000004,0.35974682
2237.8089999999997,0.36050628
2239.262,0.36132579
2240.717,0.36152198
2242.1730000000002,0.36210823
2243.6310000000003,0.36306347
2245.092,0.36335682
2246.554,0.3635569
2248.017,0.36411316
2249.483,0.36464145
2250.951,0.36530089
2252.421,0.3659331
2253.892,0.3662266
2255.365,0.36676912
2256.841,0.36719724
2258.318,0.36713676
2259.797,0.36691682
2261.278,0.36667069
2262.761,0.36681649
2264.246,0.36714019
2265.732,0.367227
2267.221,0.36715745
2268.712,0.36689987
2270.204,0.36695182
2271.699,0.36696125
2273.1949999999997,0.36625212
2274.6940000000004,0.36564815
2276.194,0.36533786
2277.6960000000004,0.36485938
2279.201,0.36439345
2280.707,0.36428498
2282.2149999999997,0.36400172
2283.725,0.36345872
2285.237,0.36354347
2286.752,0.36401507
2288.268,0.3640776
2289.786,0.36378446
2291.306,0.36361346
2292.828,0.36370795
2294.352,0.36392499
2295.878,0.36430799
2297.406,0.36462068
2298.9359999999997,0.36469262
2300.468,0.36478288
2302.002,0.36478987
2303.5389999999998,0.36509239
2305.0769999999998,0.36551252
2306.617,0.36518033
2308.1589999999997,0.36519729
2309.703,0.36613416
2311.25,0.36666487
2312.798,0.36645652
2314.348,0.36585845
2315.9010000000003,0.36549719
2317.455,0.36552282
2319.0119999999997,0.36562929
2320.5710000000004,0.36597078
2322.1310000000003,0.36616026
2323.694,0.36618536
2325.259,0.36629643
2326.826,0.36616577
2328.395,0.36572732
2329.9660000000003,0.36517128
2331.54,0.36485691
2333.115,0.36474052
2334.692,0.36455119
2336.272,0.36444191
2337.8540000000003,0.36401024
2339.4370000000004,0.36346612
2341.0229999999997,0.36347309
2342.6110000000003,0.3633824
2344.201,0.36258526
2345.7940000000003,0.36166383
2347.388,0.36133526
2348.9849999999997,0.36152645
2350.583,0.36136812
2352.1839999999997,0.36046963
2353.7870000000003,0.35979438
2355.393,0.3597789
2357.0,0.3598254
2358.609,0.35945782
2360.221,0.35864332
2361.835,0.35778844
2363.451,0.35736901
2365.069,0.3574887
2366.69,0.3577028
2368.312,0.35757371
2369.9370000000004,0.3570333
2371.564,0.35664068
2373.194,0.3567954
2374.825,0.35675932
2376.4590000000003,0.35607523
2378.0950000000003,0.35503675
2379.7329999999997,0.3544275
2381.373,0.35454728
2383.016,0.35460584
2384.661,0.35443034
2386.308,0.35414413
2387.9570000000003,0.3534992
2389.609,0.35268245
2391.263,0.35212209
2392.919,0.35174184
2394.5769999999998,0.35121614
2396.238,0.35079534
2397.901,0.35068693
2399.5660000000003,0.3505882
2401.233,0.34999012
2402.903,0.34927304
2404.575,0.34914095
2406.25,0.34858748
2407.926,0.34763259
2409.606,0.34713204
2411.2870000000003,0.34670694
2412.971,0.34680448
2414.657,0.34734482
2416.3450000000003,0.34682711
2418.036,0.34553208
2419.729,0.34488854
2421.424,0.34467366
2423.1220000000003,0.34425622
2424.8219999999997,0.34374999
2426.5240000000003,0.34362455
2428.229,0.34347338
2429.936,0.34305348
2431.646,0.343105
2433.358,0.34293601
2435.072,0.34229819
2436.789,0.3416757
2438.5080000000003,0.34123751
2440.229,0.34137145
2441.953,0.34152149
2443.679,0.34122961
2445.408,0.34105764
2447.139,0.34104174
2448.873,0.34102105
2450.609,0.34119882
2452.347,0.34117007
2454.088,0.34091639
2455.8309999999997,0.34086131
2457.577,0.34081125
2459.3250000000003,0.34089426
2461.076,0.34158805
2462.829,0.34220642
2464.585,0.34204045
2466.3430000000003,0.34196372
2468.104,0.34220843
2469.8669999999997,0.34188633
2471.632,0.34137746
2473.3999999999996,0.34151259
2475.171,0.34176104
2476.944,0.34158496
2478.7200000000003,0.34154234
2480.498,0.34169051
2482.278,0.34153729
2484.0620000000004,0.34109984
2485.847,0.34095794
2487.636,0.3410662
2489.427,0.34078025
2491.2200000000003,0.34038915
2493.016,0.34030029
2494.814,0.34046432
2496.615,0.34051526
2498.4190000000003,0.34031297
2500.225,0.33998654
2502.034,0.33974237
2503.8450000000003,0.33968519
2505.659,0.33944847
2507.476,0.339318
2509.2949999999996,0.33937497
2511.117,0.33899698
2512.942,0.33866204
2514.769,0.33847327
2516.598,0.3380737
2518.431,0.33791886
2520.266,0.33794586
2522.103,0.33774038
2523.9440000000004,0.33738586
2525.787,0.33703691
2527.632,0.33668897
2529.48,0.33675002
2531.331,0.33684318
2533.185,0.33676344
2535.041,0.33680917
2536.9,0.33601965
2538.762,0.33545909
2540.6270000000004,0.33638579
2542.494,0.33684223
2544.364,0.33612633
2546.236,0.33570243
2548.112,0.33526193
2549.9900000000002,0.33533567
2551.87,0.33530426
2553.754,0.33433474
2555.64,0.33387607
2557.529,0.33447242
2559.421,0.33634661
2561.3160000000003,0.33815685
2563.213,0.33709508
2565.1130000000003,0.33433017
2567.016,0.33394294
2568.922,0.33462647
2570.831,0.3344411
2572.7419999999997,0.33457704
2574.656,0.33444824
2576.573,0.33335459
2578.493,0.33182228
2580.416,0.33233224
2582.342,0.33423595
2584.27,0.33403832
2586.201,0.33325994
2588.1349999999998,0.33220892
2590.072,0.33069047
2592.012,0.33353476
2593.955,0.33986196
2595.9,0.33568391
2597.849,0.32855595
2599.8,0.32793202
2601.7549999999997,0.32986953
2603.712,0.33162211
2605.672,0.33118799
2607.635,0.32915646
2609.601,0.32739213
2611.57,0.32571835
2613.542,0.32586008
2615.5170000000003,0.32837507
2617.495,0.329447
2619.475,0.32779728
2621.4590000000003,0.32391937
2623.446,0.32171113
2625.435,0.32284196
2627.428,0.32389731
2629.424,0.32470092
2631.423,0.32324789
2633.4240000000004,0.31968092
2635.4289999999996,0.31705298
2637.437,0.31550936
2639.447,0.31513732
2641.4610000000002,0.31465415
2643.478,0.31403713
2645.498,0.31317412
2647.5209999999997,0.31053376
2649.547,0.3086368
2651.576,0.30848142
2653.609,0.30736055
2655.6440000000002,0.30464723
2657.682,0.30294261
2659.724,0.30204603
2661.768,0.30023338
2663.8160000000003,0.30186536
2665.867,0.30346471
2667.9210000000003,0.29917222
2669.978,0.2936205
2672.038,0.28138917
2674.102,0.27386167
2676.168,0.27379958
2678.238,0.26769721
2680.311,0.25568456
2682.3869999999997,0.24796632
2684.467,0.24155648
2686.549,0.23227009
2688.635,0.22065288
2690.7239999999997,0.21059763
2692.8160000000003,0.20451005
2694.911,0.19447735
2697.01,0.17855109
2699.112,0.1680538
2701.217,0.16125318
2703.325,0.15350752
2705.437,0.14631388
2707.552,0.14206417
2709.67,0.13983957
2711.7909999999997,0.1302757
2713.916,0.11588424
2716.0440000000003,0.1049094
2718.175,0.10102295
2720.31,0.1014889
2722.448,0.0957447
2724.589,0.08694359
2726.734,0.07658862
2728.882,0.06864586
2731.034,0.06437222
2733.188,0.06199191
2735.3469999999998,0.05950557
2737.5080000000003,0.05664597
2739.673,0.05654206
2741.841,0.05415089
2744.013,0.0484939
2746.188,0.04530389
2748.367,0.04377199
2750.549,0.04245855
2752.734,0.04178164
2754.923,0.04239001
2757.1150000000002,0.04103898
2759.3109999999997,0.038707
2761.5099999999998,0.0385799
2763.713,0.03926765
2765.919,0.03885114
2768.129,0.03844752
2770.3419999999996,0.03841012
2772.559,0.03832522
2774.779,0.0382708
2777.003,0.03843422
2779.23,0.03906671
2781.4610000000002,0.03961665
2783.696,0.03965108
2785.934,0.04002378
2788.1749999999997,0.04037856
2790.42,0.04051269
2792.669,0.04117219
2794.922,0.04162752
2797.1780000000003,0.04154141
2799.4370000000004,0.04190004
2801.7,0.04282601
2803.967,0.04355933
2806.238,0.04399699
2808.5119999999997,0.04498552
2810.789,0.04625805
2813.071,0.04721635
2815.3559999999998,0.04786249
2817.645,0.04863738
2819.937,0.04952418
2822.233,0.05043496
2824.5330000000004,0.05161168
2826.837,0.05257161
2829.144,0.05328697
2831.455,0.05398012
2833.77,0.05464335
2836.089,0.05519805
2838.4109999999996,0.05555176
2840.7369999999996,0.05586757
2843.067,0.05610313
2845.401,0.05634002
2847.7389999999996,0.05663548
2850.0800000000004,0.05686255
2852.425,0.05718248
2854.774,0.05743386
2857.1270000000004,0.05727661
2859.484,0.05776871
2861.844,0.05867302
2864.209,0.05864218
2866.5769999999998,0.05868167
2868.949,0.05931245
2871.3250000000003,0.05978763
2873.7050000000004,0.06005846
2876.089,0.05990742
2878.4770000000003,0.05988259
2880.869,0.06034455
2883.2650000000003,0.06034808
2885.6639999999998,0.06015427
2888.068,0.06084723
2890.476,0.06173036
2892.887,0.06178417
2895.3030000000003,0.06168952
2897.723,0.06162268
2900.1459999999997,0.06124028
2902.574,0.06119273
2905.0060000000003,0.06157013
2907.441,0.06204821
2909.881,0.06235831
2912.3250000000003,0.06241921
2914.7729999999997,0.06314198
2917.2250000000004,0.0640649
2919.681,0.06412202
2922.142,0.06400238
2924.6059999999998,0.063732
2927.075,0.06328322
2929.547,0.06347433
2932.0240000000003,0.06394832
2934.505,0.06421303
2936.9900000000002,0.06452682
2939.479,0.06497655
2941.973,0.06488428
2944.471,0.06505367
2946.973,0.06699985
2949.4790000000003,0.06806558
2951.989,0.06717668
2954.504,0.06746631
2957.023,0.06796479
2959.546,0.06705393
2962.0730000000003,0.06673876
2964.605,0.06708514
2967.1409999999996,0.06740232
2969.681,0.06796961
2972.226,0.06896965
2974.775,0.07055173
2977.328,0.07089479
2979.886,0.06977207
2982.4480000000003,0.06942372
2985.0150000000003,0.0695231
2987.586,0.06948891
2990.161,0.07066374
2992.74,0.07188551
2995.324,0.07159639
2997.913,0.07167068
3000.5060000000003,0.07281509
3003.103,0.07357639
3005.705,0.07330275
3008.312,0.07297265
3010.922,0.0733925
3013.538,0.07428271
3016.158,0.07493289
3018.7819999999997,0.07490889
3021.411,0.07497291
3024.044,0.07540811
3026.683,0.07594986
3029.325,0.0775605
3031.972,0.07984678
3034.624,0.07990624
3037.281,0.07830131
3039.942,0.07804065
3042.607,0.07906951
3045.2780000000002,0.07994586
3047.953,0.07985784
3050.6319999999996,0.0792892
3053.317,0.0790727
3056.006,0.07922903
3058.7,0.07970955
3061.398,0.08055323
3064.101,0.08172733
3066.809,0.08209342
3069.522,0.08140155
3072.239,0.08114343
3074.962,0.08140412
3077.689,0.08198416
3080.421,0.08260111
3083.157,0.08277745
3085.899,0.08340453
3088.645,0.08417354
3091.396,0.08408643
