Composition,
Date Added,2022-04-27 20:03:29.244093
Formula,
Grain Size,<45 um
PSF 150 watt QTH
Bare Fiber
FOV: ~5mm
1000 and 1830 breaks removed
Locality,
Minimum Wavelength,350.0
Sample Name,Saponite
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,15.21. Carbonaceous chondrite simulants: minerals + opaques
Resolution,2@350-7@2500nm
Material Class,
Sample Description,Saponite
Sample ID,SAP103_f2
Original Sample ID,SAP103
Sample Type,None
Viewing Geometry,I30_ e0
Wavelength,Response
350.0,0.081194378
351.0,0.080460363
352.0,0.080856255
353.0,0.082027417
354.0,0.082335703
355.0,0.082198375
356.0,0.081980075
357.0,0.082004294
358.0,0.082905285
359.0,0.08371661
360.0,0.084209882
361.0,0.084513171
362.0,0.084897322
363.0,0.085329165
364.0,0.085681119
365.0,0.086396657
366.0,0.087056093
367.0,0.087248092
368.0,0.088134858
369.0,0.089039181
370.0,0.089823131
371.0,0.090667392
372.0,0.091721127
373.0,0.092910415
374.0,0.094048401
375.0,0.094483898
376.0,0.095008818
377.0,0.096366536
378.0,0.097034645
379.0,0.098007109
380.0,0.099461601
381.0,0.099647324
382.0,0.100656398
383.0,0.102062583
384.0,0.102780744
385.0,0.103672062
386.0,0.104694565
387.0,0.105877541
388.0,0.106582412
389.0,0.107560999
390.0,0.10889585
391.0,0.109298718
392.0,0.110258265
393.0,0.111411521
394.0,0.111887996
395.0,0.113124685
396.0,0.114382963
397.0,0.115235391
398.0,0.116135644
399.0,0.116965271
400.0,0.11771685
401.0,0.118548405
402.0,0.119231819
403.0,0.119882496
404.0,0.120775209
405.0,0.121412355
406.0,0.122097151
407.0,0.123018342
408.0,0.123828798
409.0,0.124445108
410.0,0.124898716
411.0,0.125607723
412.0,0.126207346
413.0,0.126800511
414.0,0.127621955
415.0,0.128200742
416.0,0.128776971
417.0,0.129470796
418.0,0.129887217
419.0,0.13049644
420.0,0.131274269
421.0,0.13174693
422.0,0.132408595
423.0,0.133092761
424.0,0.133558424
425.0,0.134428642
426.0,0.135234627
427.0,0.135794536
428.0,0.136519338
429.0,0.137288224
430.0,0.138092061
431.0,0.138972405
432.0,0.139856432
433.0,0.140778361
434.0,0.14183827
435.0,0.142754617
436.0,0.14372253
437.0,0.144832455
438.0,0.145897579
439.0,0.146909211
440.0,0.147896031
441.0,0.149067383
442.0,0.150139478
443.0,0.151184541
444.0,0.152291324
445.0,0.153402826
446.0,0.154512298
447.0,0.155623859
448.0,0.156773995
449.0,0.157854579
450.0,0.15887299
451.0,0.159852314
452.0,0.16088221
453.0,0.161926747
454.0,0.162952157
455.0,0.163922744
456.0,0.164855281
457.0,0.165752415
458.0,0.166631722
459.0,0.167528986
460.0,0.168425418
461.0,0.169240463
462.0,0.169974587
463.0,0.170688854
464.0,0.171440849
465.0,0.172117374
466.0,0.172792423
467.0,0.173482916
468.0,0.173989638
469.0,0.174528242
470.0,0.175081678
471.0,0.175605685
472.0,0.176108929
473.0,0.176588735
474.0,0.177040034
475.0,0.177452057
476.0,0.177850651
477.0,0.178239251
478.0,0.178674536
479.0,0.179086982
480.0,0.179476079
481.0,0.179841782
482.0,0.180222477
483.0,0.180611779
484.0,0.181004558
485.0,0.181476123
486.0,0.181918568
487.0,0.182315146
488.0,0.182720593
489.0,0.183146073
490.0,0.183599944
491.0,0.184117755
492.0,0.184664937
493.0,0.185227928
494.0,0.185807972
495.0,0.186398229
496.0,0.187006531
497.0,0.187633551
498.0,0.188294106
499.0,0.189025761
500.0,0.189797437
501.0,0.190562144
502.0,0.19135926
503.0,0.192178352
