Composition,
Date Added,2022-04-27 19:57:39.430202
Formula,
Grain Size Description,90-1000um
Grain Size,(90.0, 1000.0)
Locality,
Minimum Wavelength,350.0
Sample Name,Basalt
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,20.28. ISAR samples
Resolution,2@350-7@2500nm
Material Class,
Sample Description,Basalt
150W QTH; ~5mm spot
1000 and 1830 breaks removed
Absolute reflectance
Sample ID,09SV15-4_1
Original Sample ID,09SV15-4
Viewing Geometry,I30e0
Wavelength,Response
350.0,0.049800098
351.0,0.04862964
352.0,0.048154522
353.0,0.048531343
354.0,0.049126609
355.0,0.049649566
356.0,0.050679255
357.0,0.050061705
358.0,0.048923168
359.0,0.049943124
360.0,0.050610063
361.0,0.050220626
362.0,0.048981565
363.0,0.049061751
364.0,0.049639888
365.0,0.050112562
366.0,0.050242917
367.0,0.050089194
368.0,0.049958792
369.0,0.050244752
370.0,0.050820057
371.0,0.051136925
372.0,0.050959889
373.0,0.051154556
374.0,0.051168854
375.0,0.051017578
376.0,0.051348564
377.0,0.051558416
378.0,0.051492176
379.0,0.05120556
380.0,0.051173371
381.0,0.051505364
382.0,0.052018298
383.0,0.051896959
384.0,0.051896893
385.0,0.052042908
386.0,0.051710768
387.0,0.051988955
388.0,0.052365054
389.0,0.052102253
390.0,0.052417835
391.0,0.052800616
392.0,0.052860463
393.0,0.052779526
394.0,0.052763074
395.0,0.052838861
396.0,0.052895616
397.0,0.052777504
398.0,0.052717408
399.0,0.052951331
400.0,0.053104764
401.0,0.053089408
402.0,0.052959064
403.0,0.052982139
404.0,0.053124502
405.0,0.053279555
406.0,0.053275302
407.0,0.053238291
408.0,0.053308795
409.0,0.053550429
410.0,0.053550854
411.0,0.053499308
412.0,0.053527904
413.0,0.05355432
414.0,0.053517412
415.0,0.053499975
416.0,0.053703617
417.0,0.053909692
418.0,0.053947933
419.0,0.053756273
420.0,0.053861875
421.0,0.053997263
422.0,0.053982104
423.0,0.054013971
424.0,0.054024353
425.0,0.054033819
426.0,0.05414267
427.0,0.054101191
428.0,0.054035629
429.0,0.054150165
430.0,0.054208752
431.0,0.054237439
432.0,0.054285256
433.0,0.054406434
434.0,0.054390312
435.0,0.054264452
436.0,0.054332586
437.0,0.054382722
438.0,0.054404291
439.0,0.05445176
440.0,0.054458889
441.0,0.054437939
442.0,0.054415981
443.0,0.054439964
444.0,0.054462893
445.0,0.054473223
446.0,0.054522997
447.0,0.054496548
448.0,0.05442463
449.0,0.054412167
450.0,0.054454405
451.0,0.054507713
452.0,0.054529426
453.0,0.054548365
454.0,0.054583034
455.0,0.054602798
456.0,0.05444006
457.0,0.054456841
458.0,0.054607472
459.0,0.054557483
460.0,0.054514589
461.0,0.054506556
