Composition,
Date Added,2022-04-27 20:04:45.639205
Formula,
Grain Size Description,
Grain Size,Unknown
Locality,
Minimum Wavelength,350.0
Sample Name,Basalt
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,ASD Spectra
Resolution,
Material Class,
Sample Description,
Sample ID,Sa51a <45um_2_f1
Original Sample ID,Sa51a <45um
Viewing Geometry,0°/60°
0°/60°
Wavelength,Response
350.0,0.096639028
351.0,0.098865043
352.0,0.098675725
353.0,0.097098656
354.0,0.098284629
355.0,0.097182438
356.0,0.096680908
357.0,0.100068216
358.0,0.10206331
359.0,0.102030357
360.0,0.09973506
361.0,0.102734115
362.0,0.104255614
363.0,0.104478966
364.0,0.103840754
365.0,0.104515505
366.0,0.105378606
367.0,0.105449598
368.0,0.106490653
369.0,0.108011237
370.0,0.109952089
371.0,0.111047829
372.0,0.111091569
373.0,0.110732189
374.0,0.112407405
375.0,0.11338253
376.0,0.114147049
377.0,0.115046442
378.0,0.1161656
379.0,0.117625401
380.0,0.119440081
381.0,0.120707631
382.0,0.120738551
383.0,0.120406063
384.0,0.122304398
385.0,0.123442685
386.0,0.124277806
387.0,0.125054492
388.0,0.126448506
389.0,0.127148154
390.0,0.127052152
391.0,0.129472676
392.0,0.130281167
393.0,0.130341913
394.0,0.131568933
395.0,0.132222807
396.0,0.132899906
397.0,0.133989307
398.0,0.134343954
399.0,0.135239806
400.0,0.136707003
401.0,0.136629934
402.0,0.137479788
403.0,0.138608286
404.0,0.138840271
405.0,0.13946237
406.0,0.140337249
407.0,0.141477313
408.0,0.142371215
409.0,0.14317372
410.0,0.143923492
411.0,0.144860706
412.0,0.145465432
413.0,0.145871373
414.0,0.1462265
415.0,0.147123762
416.0,0.147873384
417.0,0.148148007
418.0,0.14894037
419.0,0.149693442
420.0,0.150397261
421.0,0.15136241
422.0,0.152028091
423.0,0.152628436
424.0,0.153528774
425.0,0.154556649
426.0,0.155325969
427.0,0.155656102
428.0,0.156807958
429.0,0.157656192
430.0,0.158207328
431.0,0.158950153
432.0,0.159650581
433.0,0.160380699
434.0,0.161287788
435.0,0.161886843
436.0,0.162615911
437.0,0.163661504
438.0,0.164425993
439.0,0.165253297
440.0,0.16612552
441.0,0.166875427
442.0,0.167786221
443.0,0.168670221
444.0,0.169273311
445.0,0.170081578
446.0,0.17089394
447.0,0.171654033
448.0,0.172437756
449.0,0.173188247
450.0,0.173903587
451.0,0.174552181
452.0,0.175202725
453.0,0.175864776
454.0,0.176554327
455.0,0.177184302
456.0,0.177816228
457.0,0.178470477
458.0,0.179136099
459.0,0.179803206
460.0,0.180446398
461.0,0.18094048
462.0,0.181479149
463.0,0.182030121
464.0,0.182572586
465.0,0.183082225
466.0,0.183612238
467.0,0.184176427
468.0,0.184462677
469.0,0.184943991
470.0,0.185533699
471.0,0.185950847
472.0,0.186514301
473.0,0.187085811
474.0,0.187558529
475.0,0.187948417
476.0,0.188377957
477.0,0.188870539
478.0,0.189392135
479.0,0.189919732
480.0,0.190446565
481.0,0.190968746
482.0,0.191462243
483.0,0.191925824
484.0,0.192343002
485.0,0.192936986
486.0,0.193490838
487.0,0.193975258
488.0,0.194566541
489.0,0.195081957
490.0,0.195561336
491.0,0.196083412
492.0,0.196643895
493.0,0.197191191
494.0,0.197694649
495.0,0.198257968
496.0,0.198947579
497.0,0.199750879
498.0,0.200305977
499.0,0.200954495
500.0,0.201641255
501.0,0.202259619
502.0,0.202934797
503.0,0.203606795
504.0,0.204256348
505.0,0.204870721
506.0,0.205517409
507.0,0.206200854
508.0,0.206945899
509.0,0.207641586
510.0,0.208309413
511.0,0.208995543
512.0,0.209790788
513.0,0.210593848
514.0,0.211360858
515.0,0.212134078
516.0,0.212926502
517.0,0.213731033
518.0,0.21451477
519.0,0.215261106
520.0,0.215992094
521.0,0.216756673
522.0,0.217508274
523.0,0.218238872
524.0,0.218945181
525.0,0.21968409
526.0,0.220391884
527.0,0.221070573
528.0,0.221778382
529.0,0.222458991
530.0,0.223122018
531.0,0.223781413
532.0,0.224424321
533.0,0.225043809
534.0,0.225635588
535.0,0.226247215
536.0,0.226869614
537.0,0.227496709
538.0,0.228061378
539.0,0.22864672
540.0,0.229236969
541.0,0.229834568
542.0,0.230392426
543.0,0.23092994
544.0,0.231446195
545.0,0.232037149
546.0,0.232563021
547.0,0.23304048
548.0,0.233518568
549.0,0.233999598
550.0,0.234483672
551.0,0.234997137
552.0,0.235475196
553.0,0.23595387
554.0,0.236441995
555.0,0.236893679
556.0,0.237372758
557.0,0.237863149
558.0,0.238297835
559.0,0.238741583
560.0,0.239200093
561.0,0.239689014
562.0,0.240123415
563.0,0.240560397
564.0,0.24100899
565.0,0.241432064
566.0,0.241844172
567.0,0.242247247
568.0,0.242647142
569.0,0.243068491
570.0,0.243476637
571.0,0.243837031
572.0,0.244286794
573.0,0.244714459
574.0,0.245099007
575.0,0.245450038
576.0,0.245775265
577.0,0.246085264
578.0,0.246406966
579.0,0.246722276
580.0,0.247042312
581.0,0.247377831
582.0,0.24768999
583.0,0.248006831
584.0,0.248335733
585.0,0.248675993
586.0,0.248993119
587.0,0.249301738
588.0,0.249639927
589.0,0.250017258
590.0,0.250378836
591.0,0.250685175
592.0,0.250991949
593.0,0.251301978
594.0,0.251612922
595.0,0.251870803
596.0,0.252129328
597.0,0.252385963
598.0,0.252649319
599.0,0.252901423
600.0,0.253151667
601.0,0.25339969
602.0,0.253648224
603.0,0.253858741
604.0,0.254038172
605.0,0.254264352
606.0,0.254522517
607.0,0.254799285
608.0,0.255077494
609.0,0.255367915
610.0,0.255651645
611.0,0.255915361
612.0,0.256102024
613.0,0.256331894
614.0,0.256620514
615.0,0.257031016
616.0,0.257474164
617.0,0.257926523
618.0,0.258344856
619.0,0.258558074
620.0,0.258629666
621.0,0.258552733
622.0,0.258469048
623.0,0.25841954
624.0,0.258417979
625.0,0.25853455
626.0,0.258694478
627.0,0.258908445
628.0,0.259228331
629.0,0.25973497
630.0,0.260327034
631.0,0.26099093
632.0,0.261616599
633.0,0.26202086
634.0,0.262233087
635.0,0.262385394
636.0,0.262607643
637.0,0.262868059
638.0,0.263146957
639.0,0.263380788
640.0,0.263570782
641.0,0.263712226
642.0,0.263857332
643.0,0.263891508
644.0,0.263855021
645.0,0.263948428
646.0,0.26401897
647.0,0.264092573
648.0,0.264200622
649.0,0.264351698
650.0,0.264498664
651.0,0.264630597
652.0,0.264846005
653.0,0.2651015
654.0,0.265391441
655.0,0.265743102
656.0,0.266099865
657.0,0.266453987
658.0,0.266799557
659.0,0.267091598
660.0,0.267359785
661.0,0.267602438
662.0,0.267773408
663.0,0.267922894
664.0,0.268062718
665.0,0.268234048
666.0,0.268409249
667.0,0.26858646
668.0,0.268768352
669.0,0.268961166
670.0,0.269164181
