Composition,
Date Added,2022-04-27 19:59:56.981127
Formula,
Grain Size Description,Paint
Grain Size,
Locality,
Minimum Wavelength,350.0
Sample Name,Hematite
Maximum Wavelength,2500.0
Database of Origin,University of Winnipeg Spectrophotometer Facility
Other Information,
References,19. Pigments
Resolution,2@350-7@2500nm
Material Class,
Sample Description,Pigment mixed with linseed oil
on glass slide

HEM101

50W QTH; ~5mm spot
1000 and 1830 breaks removed
Sample ID,HEM101
Original Sample ID,HEM101
Viewing Geometry,I30_ e0
Wavelength,Response
350.0,0.015283281
351.0,0.011645272
352.0,0.011672761
353.0,0.014000508
354.0,0.012917212
355.0,0.011295703
356.0,0.009535329
357.0,0.007879771
358.0,0.008167781
359.0,0.008751417
360.0,0.009245294
361.0,0.008242732
362.0,0.007525899
363.0,0.007281186
364.0,0.008544416
365.0,0.008915885
366.0,0.008752264
367.0,0.008156025
368.0,0.008148546
369.0,0.00782596
370.0,0.006966771
371.0,0.006986161
372.0,0.007343887
373.0,0.007904391
374.0,0.008266002
375.0,0.00819078
376.0,0.008014179
377.0,0.007975138
378.0,0.008009749
379.0,0.007816003
380.0,0.007341687
381.0,0.00739822
382.0,0.007398625
383.0,0.007482521
384.0,0.00817111
385.0,0.00852811
386.0,0.008584816
387.0,0.008258129
388.0,0.008370876
389.0,0.008219379
390.0,0.007719299
391.0,0.007746403
392.0,0.007874865
393.0,0.007928679
394.0,0.007347999
395.0,0.007652186
396.0,0.008107265
397.0,0.008321319
398.0,0.007912929
399.0,0.007627595
400.0,0.007549588
401.0,0.007572691
402.0,0.007539838
403.0,0.007549458
404.0,0.007853541
405.0,0.007721406
406.0,0.007689115
407.0,0.008058917
408.0,0.008117703
409.0,0.007883804
410.0,0.007436606
411.0,0.007628279
412.0,0.007888216
413.0,0.008099139
414.0,0.008004642
415.0,0.00793581
416.0,0.007902681
417.0,0.007917875
418.0,0.007766732
419.0,0.007867056
420.0,0.008170345
421.0,0.008036983
422.0,0.008124752
423.0,0.008284909
424.0,0.008325521
425.0,0.008209437
426.0,0.008149782
427.0,0.008239263
428.0,0.008186143
429.0,0.00829763
430.0,0.008537608
431.0,0.00853997
432.0,0.00858463
433.0,0.008636512
434.0,0.008647715
435.0,0.008620774
436.0,0.008644707
437.0,0.008760114
438.0,0.008707771
439.0,0.008760466
440.0,0.008896807
441.0,0.008948673
442.0,0.008913468
443.0,0.00890776
444.0,0.009101127
445.0,0.009189425
446.0,0.009203913
447.0,0.0091444
448.0,0.009331339
449.0,0.009397928
450.0,0.009375928
451.0,0.009473057
452.0,0.009582338
453.0,0.009658339
454.0,0.009632518
455.0,0.009669936
456.0,0.009708444
457.0,0.009732026
