Composition,
Date Added,2022-04-27 20:02:12.087735
Formula,
Grain Size Description,
Grain Size,Unknown
Locality,
Minimum Wavelength,221.0
Sample Name,Olivine
Maximum Wavelength,2976.0
Database of Origin,USGS Spectral Database
Other Information,
References,
Resolution,
Material Class,Nesosilicate
Sample Description,See USGS database for additional info
Sample ID,Olivine_hs285.16681
Original Sample ID,
Viewing Geometry,
Wavelength,Response
221.1,0.045924
229.1,0.043159
236.1,0.044125
242.1,0.040912
248.1,0.040455
253.6,0.039533
258.6,0.040573
263.6,0.040073
268.6,0.040517
273.1,0.041608
277.1,0.043169
281.1,0.043358
285.1,0.044551
289.1,0.044116
293.1,0.044207
297.1,0.04504
301.1,0.046272
305.1,0.047715
309.1,0.049374
313.1,0.048845
317.1,0.050691
321.1,0.052576
325.1,0.052759
329.1,0.057417
333.1,0.060596
337.1,0.064299
341.1,0.068234
345.1,0.075375
349.1,0.080426
353.1,0.090341
357.1,0.096872
360.6,0.105307
363.6,0.11152
366.6,0.111605
369.6,0.118792
372.6,0.124504
375.6,0.127414
378.6,0.133146
381.1,0.134225
383.1,0.136115
385.1,0.138048
387.1,0.139013
389.1,0.142934
391.1,0.144702
393.1,0.14835
395.1,0.15012
397.1,0.151464
399.1,0.154478
401.1,0.156144
403.1,0.156805
405.1,0.165112
407.1,0.171315
409.1,0.176098
411.1,0.175808
412.8,0.178856
415.8,0.18485
418.8,0.183921
421.8,0.190743
424.8,0.192094
427.8,0.192199
430.8,0.193446
433.8,0.197739
436.8,0.199678
439.8,0.203507
442.8,0.204064
445.8,0.205963
448.8,0.204434
451.3,0.202719
453.3,0.206977
455.3,0.206038
457.3,0.209178
459.3,0.210421
461.3,0.218163
463.3,0.221457
465.3,0.224491
467.3,0.226842
469.3,0.228842
471.3,0.230944
473.3,0.230982
475.3,0.239469
477.3,0.246463
479.3,0.250361
481.3,0.253623
483.3,0.255148
485.3,0.253059
487.3,0.256349
489.3,0.256806
491.3,0.25783
493.3,0.259167
495.3,0.258795
497.3,0.267535
499.3,0.275841
501.3,0.286535
503.3,0.296473
505.3,0.305742
507.3,0.308707
509.3,0.313752
511.3,0.316828
513.3,0.32188
515.3,0.325799
517.3,0.327971
519.3,0.328437
521.3,0.332828
